subject,session,UTC_Timestamp,BR_mean,BR_stdev,BR_1std_BB_RR,B_level,B_fluctuation,BF_elapsed_time,RtoR_mean,RtoR_stdev,RtoR_1std
26,BASELINE1,2014-3-3T11:30:22.000-05:00,23138.7,31308.5,23112.2,Medium,Breathing_in,1,-0.0225882,0.586842,0.458078
26,BASELINE1,2014-3-3T11:30:23.000-05:00,65515.4,3.30217,42376.7,High,Breathing_in,2,-0.241778,0.605912,-0.21919
26,BASELINE1,2014-3-3T11:30:24.000-05:00,65526.2,2.52885,10.8333,High,Breath_holding,1,0.121333,0.531759,0.363111
26,BASELINE1,2014-3-3T11:30:25.000-05:00,10932.7,24417.3,-54593.6,Low,Breathing_out,1,-0.0668889,0.343658,-0.188222
26,BASELINE1,2014-3-3T11:30:26.000-05:00,57,43.0723,-10875.7,Low,Breathing_out,2,0.217333,0.343182,0.284222
26,BASELINE1,2014-3-3T11:30:27.000-05:00,50959.7,27202,50902.7,High,Breathing_in,1,-0.304889,0.357549,-0.522222
26,BASELINE1,2014-3-3T11:30:28.000-05:00,40031,31920.4,-10928.7,Medium,Breathing_out,1,0.00533333,0.295799,0.310222
26,BASELINE1,2014-3-3T11:30:29.000-05:00,15451.2,27771.8,-24579.8,Low,Breathing_out,2,0.124,5.55112e-017,0.118667
26,BASELINE1,2014-3-3T11:30:30.000-05:00,50949.4,27229.5,35498.2,High,Breathing_in,1,-0.261333,0.861632,-0.385333
26,BASELINE1,2014-3-3T11:30:31.000-05:00,65518.5,6.46572,14569.1,High,Breathing_in,2,-0.0255556,0.57065,0.235778
26,BASELINE1,2014-3-3T11:30:32.000-05:00,25489.2,31940.1,-40029.3,Medium,Breathing_out,1,-0.202222,0.323858,-0.176667
26,BASELINE1,2014-3-3T11:30:33.000-05:00,50962.4,27228,25473.2,High,Breathing_in,1,0.118222,0.403278,0.320444
26,BASELINE1,2014-3-3T11:30:34.000-05:00,10955.4,24407.7,-40006.9,Low,Breathing_out,1,0.0428889,0.246006,-0.0753333
26,BASELINE1,2014-3-3T11:30:35.000-05:00,43677.8,30861.8,32722.4,Medium,Breathing_in,1,0.151556,0.202881,0.108667
26,BASELINE1,2014-3-3T11:30:36.000-05:00,57811.3,21103.5,14133.5,High,Breathing_in,2,-0.0651765,0.430891,-0.216732
26,BASELINE1,2014-3-3T11:30:37.000-05:00,14586.9,27229.8,-43224.4,Low,Breathing_out,1,0.116667,0.356452,0.181843
26,BASELINE1,2014-3-3T11:30:38.000-05:00,61874,15006.4,47287.1,High,Breathing_in,1,-0.179778,0.272354,-0.296444
26,BASELINE1,2014-3-3T11:30:39.000-05:00,58244.2,20591.7,-3629.78,High,Breathing_out,1,0.116889,0.443809,0.296667
26,BASELINE1,2014-3-3T11:30:40.000-05:00,50967.2,27240.1,-7277,High,Breathing_out,2,-0.106444,0.26024,-0.223333
26,BASELINE1,2014-3-3T11:30:41.000-05:00,18228.2,29330.4,-32739,Low,Breathing_out,3,-0.168222,0.322354,-0.0617778
26,BASELINE1,2014-3-3T11:30:42.000-05:00,65514.9,2.43749,47286.7,High,Breathing_in,1,0.00644444,0.325025,0.174667
26,BASELINE1,2014-3-3T11:30:43.000-05:00,57819.2,21112.6,-7695.77,High,Breathing_out,1,-0.0117647,0.367535,-0.0182092
26,BASELINE1,2014-3-3T11:30:44.000-05:00,61892.9,15011.2,4073.77,High,Breathing_in,1,0.124,0.310097,0.135765
26,BASELINE1,2014-3-3T11:30:45.000-05:00,7321.89,20581.5,-54571.1,Low,Breathing_out,1,0.179111,0.34982,0.0551111
26,BASELINE1,2014-3-3T11:30:46.000-05:00,50959.8,27215.9,43637.9,High,Breathing_in,1,-0.171556,0.438774,-0.350667
26,BASELINE1,2014-3-3T11:30:47.000-05:00,65515.3,6.94422,14555.6,High,Breathing_in,2,-0.0371111,0.2549,0.134444
26,BASELINE1,2014-3-3T11:30:48.000-05:00,65528.8,2.19216,13.5,High,Breath_holding,1,-0.0942222,0.275991,-0.0571111
26,BASELINE1,2014-3-3T11:30:49.000-05:00,7309.28,20585,-58219.6,Low,Breathing_out,1,-0.112444,0.346874,-0.0182222
26,BASELINE1,2014-3-3T11:30:50.000-05:00,30840.6,32700.1,23531.4,Medium,Breathing_in,1,0.144471,0.173982,0.256915
26,BASELINE1,2014-3-3T11:30:51.000-05:00,61880.6,15007,31040,High,Breathing_in,2,-0.104444,0.461279,-0.248915
26,BASELINE1,2014-3-3T11:30:52.000-05:00,65527.1,2.90381,3646.5,High,Breathing_in,3,0.052,0.441235,0.156444
26,BASELINE1,2014-3-3T11:30:53.000-05:00,10937,24415.8,-54590.1,Low,Breathing_out,1,0.101556,0.518309,0.0495556
26,BASELINE1,2014-3-3T11:30:54.000-05:00,47327.4,29349.6,36390.4,Medium,Breathing_in,1,-0.0224444,0.421291,-0.124
26,BASELINE1,2014-3-3T11:30:55.000-05:00,65527.9,3.23989,18200.6,High,Breathing_in,2,0.0482222,0.239939,0.0706667
26,BASELINE1,2014-3-3T11:30:56.000-05:00,7291.11,20591.6,-58236.8,Low,Breathing_out,1,0.0966667,0.244572,0.0484444
26,BASELINE1,2014-3-3T11:30:57.000-05:00,23.6471,19.6916,-7267.46,Low,Breathing_out,2,-0.0214118,0.357773,-0.118078
26,BASELINE1,2014-3-3T11:30:58.000-05:00,29125.8,32559.2,29102.2,Medium,Breathing_in,1,-0.0591111,0.427687,-0.0376993
26,BASELINE1,2014-3-3T11:30:59.000-05:00,50964.3,27228.2,21838.5,High,Breathing_in,2,0.130444,0.239173,0.189556
26,DRIVING1,2014-3-3T11:32:18.000-05:00,38.8889,20.0912,-50925.4,Low,Breathing_out,1,-0.174667,0.413194,-0.305111
26,DRIVING1,2014-3-3T11:32:19.000-05:00,40095,31874.7,40056.1,Medium,Breathing_in,1,-0.117778,0.363128,0.0568889
26,DRIVING1,2014-3-3T11:32:20.000-05:00,61845.7,14999.6,21750.7,High,Breathing_in,2,0.218889,0.380472,0.336667
26,DRIVING1,2014-3-3T11:32:21.000-05:00,50096.4,27781.7,-11749.4,High,Breathing_out,1,0.0176471,0.252644,-0.201242
26,DRIVING1,2014-3-3T11:32:22.000-05:00,50962.7,27221.5,866.314,High,Breathing_in,1,-0.000444444,0.235736,-0.0180915
26,DRIVING1,2014-3-3T11:32:23.000-05:00,25538.8,31893.9,-25423.8,Medium,Breathing_out,1,-0.161111,0.443841,-0.160667
