GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Average trip speed(whilst stopped or moving)(km/h),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(캜),Engine Load(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel used (trip)(gal),GPS Altitude(m),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 2(%),GPS Accuracy(m),Fuel Trim Bank 1 Short Term(%),GPS Bearing(?,GPS vs OBD Speed difference(km/h),Voltage (Control Module)(V),Mass Air Flow Rate(g/s),Intake Air Temperature(캜),Intake Manifold Pressure(psi),O2 Sensor1 Equivalence Ratio(alternate),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine kW (At the wheels)(kW),Horsepower (At the wheels)(hp),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Long Term Average)(mpg),Torque(Nm),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Speed (OBD)(km/h),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),CO? in g/km (Average)(g/km),Fuel Level (From Engine ECU)(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Throttle Position(Manifold)(%)
Mon Mar 03 11:29:49 EST 2014,03-Mar-2014 11:29:49.971,-79.94605572,40.44376876,0.0,5.0,228.0,0.0,-9.59,-0.4,-0.81,0,0,-0.04,-1,-0.17,-,-,994.39,-,-,-,-,-,-,-,-,-,-,228,-,-,5,-,0,-,-,-,-,-,-,-,1531.08,-,-,15.12,6.61,35.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mon Mar 03 11:29:50 EST 2014,03-Mar-2014 11:29:50.696,-79.94605939,40.44377058,0.0,5.0,228.0,0.0,-8.84,-0.31,-0.43,-0.08,0.04,-0.05,-1.03,-0.2,0,-,994.39,-,-,-,-,-,-,-,-,-,-,228,-,-,5,-,0,0,-,-,-,-,-,-,1531.08,-,-,15.12,6.61,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Mar 03 11:29:56 EST 2014,03-Mar-2014 11:29:57.200,-79.9460633,40.44377204,0.0,4.0,228.0,0.0,-9.73,-0.52,-0.6,0.01,-0,-0.05,-0.99,-0.17,0,-,994.41,-,-,88,34.12,-,733,-,-,-,-,228,10.16,-,4,-0.78,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:02 EST 2014,03-Mar-2014 11:30:02.552,-79.94606367,40.443772009999996,0.0,4.0,228.0,0.0,-8.9,-0.19,-0.55,-0.07,-0.04,-0.04,-0.96,-0.16,0,-,994.45,-,-,88,33.73,-,698.5,-,-,-,-,228,10.16,-,4,0,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:07 EST 2014,03-Mar-2014 11:30:07.700,-79.94606354,40.44377192,0.0,4.0,228.0,0.0,-8.91,-0.17,-0.51,-0.07,0.04,-0.06,-1.04,-0.19,0,-,994.42,-,-,88,34.12,-,730,-,-,-,-,228,10.16,-,4,-2.34,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:09 EST 2014,03-Mar-2014 11:30:09.566,-79.94606365,40.44377196,0.0,4.0,228.0,0.0,-8.65,-0.25,-0.42,-0.1,-0.12,-0.03,-0.88,-0.14,0,-,994.48,-807.3,-,88,33.73,-100.2,693,0,-,-,0,228,9.38,-,4,1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:10 EST 2014,03-Mar-2014 11:30:11.445,-79.94606362,40.44377197,0.0,4.0,229.0,0.0,-9.59,-0.5,-0.4,-0,0.01,-0.05,-1,-0.17,0,-,994.41,-807.3,-,88,33.73,-100.2,691.75,0,0.28,0,0,229,10.94,-,4,-3.12,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:12 EST 2014,03-Mar-2014 11:30:13.434,-79.94606355,40.443772,0.0,5.0,229.0,0.0,-10.16,-0.5,-0.99,0.06,0.05,-0.05,-1.05,-0.19,0,-,994.47,-807.31,-,88,33.73,-100.2,704.25,0,0.28,0,0,229,10.16,-,5,1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:14 EST 2014,03-Mar-2014 11:30:15.435,-79.94606377,40.4437721,0.0,5.0,229.0,0.0,-9.45,-0.41,-0.46,-0.02,0.01,-0.05,-1.01,-0.19,0,-,994.45,-807.32,-,89,33.73,-100.2,711.25,0,0.28,0,0,229,10.16,-,5,-2.34,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:16 EST 2014,03-Mar-2014 11:30:17.221,-79.94606346,40.44377194,0.0,5.0,229.0,0.0,-9.77,-0.34,-0.95,0.02,-0.07,-0.02,-0.93,-0.15,0,-,994.42,-807.33,-,89,34.12,-100.2,712.5,0,0.28,0,0,229,10.16,-,5,0.78,0,0,-,3.54,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:18 EST 2014,03-Mar-2014 11:30:19.119,-79.94606281,40.44377163,0.0,5.0,229.0,0.0,-9.28,-0.28,-0.65,-0.03,-0.05,-0.03,-0.95,-0.17,0,-,994.46,-807.34,-,89,34.12,-100.21,707,0,0.28,0,0,229,10.16,-,5,-3.12,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:20 EST 2014,03-Mar-2014 11:30:20.933,-79.94606254,40.44377149,0.0,6.0,229.0,0.0,-8.75,-0.18,-0.52,-0.09,-0.09,-0.03,-0.9,-0.14,0,-,994.44,-807.34,-,89,34.12,-100.21,710,0,0.28,0,0,229,10.16,-,6,1.56,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:22 EST 2014,03-Mar-2014 11:30:22.839,-79.94606244,40.44377142,0.0,5.0,229.0,0.0,-9.7,-0.46,-0.65,0.01,-0.03,-0.04,-0.97,-0.17,0,-,994.47,-807.35,-,89,34.12,-100.21,698,0.01,0.28,0,0,229,10.16,-,5,0,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:24 EST 2014,03-Mar-2014 11:30:24.790,-79.94606256,40.44377142,0.0,5.0,229.0,0.0,-9.77,-0.41,-0.86,0.02,0.05,-0.05,-1.04,-0.2,0,-,994.4,-807.36,-,89,34.12,-100.21,721.75,0.01,0.28,0,0,229,10.16,-,5,-1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:26 EST 2014,03-Mar-2014 11:30:26.691,-79.94606265,40.44377141,0.0,5.0,229.0,0.0,-9.36,-0.29,-0.69,-0.02,0.02,-0.04,-1.01,-0.2,0,-,994.5,-807.37,-,89,34.12,-100.21,700,0.01,0.28,0,0,229,10.16,-,5,0.78,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:28 EST 2014,03-Mar-2014 11:30:28.696,-79.94606282,40.44377146,0.0,5.0,229.0,0.0,-9.86,-0.33,-0.94,0.03,-0.06,-0.05,-0.94,-0.12,0,-,994.42,-807.38,-,89,34.12,-100.21,716.75,0.01,0.28,0,0,229,10.16,-,5,-1.56,0,0,-,3.54,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:30 EST 2014,03-Mar-2014 11:30:30.509,-79.94606261,40.44377141,0.0,5.0,229.0,0.0,-10.02,-0.42,-0.99,0.05,-0.03,-0.03,-0.97,-0.18,0,-,994.45,-807.38,-,89,33.73,-100.21,709.75,0.01,0.28,0,0,229,10.16,-,5,0.78,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:32 EST 2014,03-Mar-2014 11:30:32.549,-79.94606205,40.44377121,0.0,5.0,229.0,0.0,-9.89,-0.53,-0.66,0.03,-0.03,-0.04,-0.96,-0.17,0,-,994.46,-807.39,-,89,34.12,-100.21,690,0.01,0.28,0,0,229,10.16,-,5,-2.34,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:34 EST 2014,03-Mar-2014 11:30:34.542,-79.94606162,40.44377105,0.0,5.0,229.0,0.0,-9.25,-0.45,-0.44,-0.04,0.02,-0.05,-1.02,-0.19,0,-,994.5,-807.4,-,89,34.12,-100.21,691.25,0.01,0.28,0,0,229,10.16,-,5,-1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:36 EST 2014,03-Mar-2014 11:30:36.601,-79.94606141,40.44377101,0.0,5.0,229.0,0.0,-9.8,-0.44,-0.74,0.02,-0.05,-0.03,-0.95,-0.17,0,-,994.51,-807.41,-,89,33.73,-100.22,695.25,0.01,0.28,0,0,229,10.16,-,5,0,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:38 EST 2014,03-Mar-2014 11:30:38.603,-79.94606147,40.44377072,0.0,5.0,229.0,0.0,-10.19,-0.51,-1.1,0.07,-0.08,-0.03,-0.91,-0.14,0,-,994.44,-807.42,-,89,34.12,-100.22,713,0.01,0.27,0,0,229,10.16,-,5,0.78,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:40 EST 2014,03-Mar-2014 11:30:40.638,-79.94606138,40.44377054,0.0,5.0,229.0,0.0,-9.23,-0.41,-0.6,-0.04,0.05,-0.06,-1.05,-0.18,0,-,994.41,-807.43,-,89,33.73,-100.22,712.75,0.01,0.28,0,0,229,9.38,-,5,-0.78,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:42 EST 2014,03-Mar-2014 11:30:42.610,-79.94606131,40.44377052,0.0,6.0,229.0,0.0,-8.99,-0.33,-0.3,-0.06,0.02,-0.06,-1.01,-0.16,0,-,994.46,-807.43,-,89,33.73,-100.22,695,0.01,0.28,0,0,229,10.16,-,6,3.12,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:44 EST 2014,03-Mar-2014 11:30:44.649,-79.94606118,40.44377023,0.0,7.0,229.0,0.0,-10,-0.56,-0.61,0.04,0.02,-0.06,-1.02,-0.16,0,-,994.43,-807.44,-,89,34.12,-100.22,703.25,0.01,0.27,0,0,229,9.38,-,7,3.91,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:46 EST 2014,03-Mar-2014 11:30:46.613,-79.946061,40.44377005,0.0,8.0,229.0,0.0,-10.23,-0.48,-1,0.07,-0.09,-0.02,-0.91,-0.15,0,-,994.41,-807.45,-,89,34.12,-100.22,703.75,0.01,0.28,0,0,229,9.38,-,8,2.34,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:48 EST 2014,03-Mar-2014 11:30:48.659,-79.94606095,40.44377007,0.0,8.0,229.0,0.0,-9.71,-0.41,-0.86,0.01,-0.02,-0.04,-0.98,-0.17,0,-,994.45,-807.46,-,89,33.73,-100.22,686.75,0.01,0.28,0,0,229,10.16,-,8,-1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:50 EST 2014,03-Mar-2014 11:30:50.636,-79.9460609,40.44377015,0.0,8.0,229.0,0.0,-9.82,-0.34,-0.76,0.02,-0.05,-0.05,-0.95,-0.13,0,-,994.43,-807.47,-,89,33.33,-100.22,704,0.01,0.27,0,0,229,10.16,-,8,3.91,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:52 EST 2014,03-Mar-2014 11:30:52.612,-79.94606041,40.44377012,0.0,8.0,229.0,0.0,-9.46,-0.33,-0.57,-0.01,-0.02,-0.05,-0.98,-0.17,0,-,994.39,-807.47,-,89,33.73,-100.22,698.75,0.01,0.27,0,0,229,10.16,-,8,-0.78,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:54 EST 2014,03-Mar-2014 11:30:54.626,-79.94606041,40.44377019,0.0,7.0,229.0,0.0,-9.61,-0.28,-0.91,0,-0.06,-0.04,-0.94,-0.14,0,-,994.43,-807.48,-,89,34.12,-100.23,711,0.01,0.27,0,0,229,10.16,-,7,1.56,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:56 EST 2014,03-Mar-2014 11:30:56.648,-79.94606034,40.44377012,0.0,8.0,229.0,0.0,-9.92,-0.54,-0.73,0.03,-0.01,-0.04,-0.99,-0.19,0,-,994.44,-807.49,-,90,33.73,-100.23,706.5,0.02,0.28,0,0,229,10.16,-,8,2.34,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:58 EST 2014,03-Mar-2014 11:30:58.546,-79.94606035,40.44377012,0.0,9.0,230.0,0.0,-9.86,-0.48,-0.78,0.03,0.01,-0.06,-1.01,-0.16,0,-,994.37,-807.5,-,90,34.12,-100.23,695.5,0.02,0.28,0,0,230,10.16,-,9,-1.56,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:00 EST 2014,03-Mar-2014 11:31:00.578,-79.94606038,40.44377009,0.0,11.0,230.0,0.0,-9.53,-0.37,-0.62,-0.01,-0.01,-0.05,-0.99,-0.15,0,-,994.36,-807.51,-,90,33.73,-100.23,709.5,0.02,0.28,0,0,230,9.38,-,11,2.34,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:02 EST 2014,03-Mar-2014 11:31:02.559,-79.94606047,40.44377015,0.0,12.0,230.0,0.0,-10.11,-0.51,-0.73,0.05,-0.06,-0.04,-0.94,-0.14,0,-,994.43,-807.52,-,90,33.73,-100.23,716,0.02,0.28,0,0,230,9.38,-,12,-3.12,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:04 EST 2014,03-Mar-2014 11:31:04.419,-79.94606046,40.44377017,0.0,11.0,230.0,0.0,-9.82,-0.47,-0.58,0.02,-0.05,-0.04,-0.94,-0.15,0,-,994.45,-807.52,-,90,33.73,-100.23,687.5,0.02,0.28,0,0,230,10.16,-,11,-1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:05 EST 2014,03-Mar-2014 11:31:06.413,-79.94606046,40.44377019,0.0,11.0,230.0,0.0,-9.16,-0.39,-0.46,-0.04,-0.09,-0.03,-0.91,-0.15,0,-,994.45,-807.53,-,90,33.33,-100.23,678.5,0.02,0.28,0,0,230,9.38,-,11,0,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:07 EST 2014,03-Mar-2014 11:31:08.406,-79.94606044,40.44377016,0.0,11.0,230.0,0.0,-9.75,-0.36,-0.86,0.02,-0.04,-0.03,-0.96,-0.16,0,-,994.42,-807.54,-,90,32.94,-100.23,722.75,0.02,0.28,0,0,230,10.16,-,11,-1.56,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:09 EST 2014,03-Mar-2014 11:31:10.423,-79.94606012,40.44377006,0.0,11.0,230.0,0.0,-10.13,-0.43,-1.02,0.06,-0.07,-0.03,-0.93,-0.13,0,-,994.39,-807.55,-,90,32.94,-100.23,722.5,0.02,0.27,0,0.01,230,10.16,-,11,1.56,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:11 EST 2014,03-Mar-2014 11:31:12.420,-79.94605842,40.44376976,0.0,11.0,230.0,0.0,-9.46,-0.27,-0.79,-0.01,-0.03,-0.04,-0.97,-0.14,0,-,994.37,-807.56,-,90,32.55,-100.23,696.5,0.02,0.27,0,0.01,230,10.16,-,11,-3.12,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:13 EST 2014,03-Mar-2014 11:31:14.447,-79.94605798,40.44376959,0.0,10.0,230.0,0.0,-9.87,-0.52,-0.67,0.03,-0.02,-0.04,-0.98,-0.18,0,-,994.43,-807.56,-,90,32.55,-100.24,727.25,0.02,0.27,0,0.01,230,9.38,-,10,3.12,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:15 EST 2014,03-Mar-2014 11:31:16.349,-79.94605734,40.44376931,0.0,10.0,230.0,0.0,-9.4,-0.24,-0.91,-0.02,-0.04,-0.02,-0.96,-0.19,0,-,994.43,-807.57,-,90,32.55,-100.24,726.75,0.02,0.27,0,0.01,230,10.16,-,10,0.78,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:17 EST 2014,03-Mar-2014 11:31:18.386,-79.94605724,40.44376921,0.0,9.0,230.0,0.0,-9.54,-0.45,-0.64,-0.01,-0.07,-0.03,-0.93,-0.16,0,-,994.45,-807.58,-,90,32.55,-100.24,713.75,0.02,0.27,0,0.01,230,10.16,-,9,-0.78,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:19 EST 2014,03-Mar-2014 11:31:20.357,-79.94605713,40.44376912,0.0,8.0,230.0,0.0,-9.7,-0.42,-0.91,0.01,-0.06,-0.03,-0.94,-0.15,0,-,994.37,-807.59,-,90,32.16,-100.24,713.75,0.02,0.27,0,0.01,230,9.38,-,8,3.12,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:21 EST 2014,03-Mar-2014 11:31:22.410,-79.94605697,40.443769,0.0,8.0,230.0,0.0,-10.04,-0.46,-0.9,0.05,-0.09,-0.03,-0.91,-0.15,0,-,994.35,-807.6,-,90,32.55,-100.24,696.75,0.02,0.26,0,0.01,230,10.16,-,8,-2.34,0,0,-,3.26,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:23 EST 2014,03-Mar-2014 11:31:24.332,-79.94605684,40.44376894,0.0,8.0,230.0,0.0,-9.93,-0.39,-0.98,0.04,-0.06,-0.03,-0.93,-0.14,0,-,994.4,-807.6,-,90,32.55,-100.24,715.75,0.02,0.27,0,0.01,230,10.16,-,8,-1.56,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:25 EST 2014,03-Mar-2014 11:31:26.423,-79.94605672,40.44376884,0.0,8.0,230.0,0.0,-8.97,-0.27,-0.42,-0.07,-0.08,-0.04,-0.92,-0.14,0,-,994.45,-807.61,-,90,32.55,-100.24,705.5,0.02,0.27,0,0.01,230,9.38,-,8,2.34,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:27 EST 2014,03-Mar-2014 11:31:28.371,-79.94605647,40.44376875,0.0,8.0,230.0,0.0,-10.2,-0.43,-1,-0,-0.02,-0.03,-0.97,-0.18,0,-,994.37,-807.62,-,90,32.55,-100.24,694.25,0.02,0.27,0,0.01,230,10.16,-,8,1.56,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:29 EST 2014,03-Mar-2014 11:31:30.385,-79.94605621,40.44376864,0.0,7.0,230.0,0.0,-9.53,-0.37,-0.47,-0.01,-0.04,-0.03,-0.95,-0.17,0,-,994.42,-807.63,-,90,32.55,-100.24,688,0.02,0.27,0,0.01,230,10.16,-,7,-2.34,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:31 EST 2014,03-Mar-2014 11:31:32.373,-79.94605603,40.44376856,0.0,7.0,230.0,0.0,-9.66,-0.37,-0.89,0.01,-0.05,-0.02,-0.94,-0.16,0,-,994.44,-807.64,-,90,32.55,-100.25,714,0.03,0.27,0,0.01,230,10.16,-,7,-1.56,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:33 EST 2014,03-Mar-2014 11:31:34.430,-79.94605592,40.44376847,0.0,7.0,230.0,0.0,-10.09,-0.54,-1.11,0.06,-0.08,-0,-0.91,-0.16,0,-,994.33,-807.64,-,90,32.94,-100.25,700.75,0.03,0.27,0,0.01,230,10.16,-,7,2.34,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:35 EST 2014,03-Mar-2014 11:31:36.523,-79.94605376,40.44376812,0.0,6.0,231.0,0.0,-9.25,-0.31,-0.54,-0.04,-0.05,-0.03,-0.94,-0.16,0,-,994.39,-807.65,-,90,32.55,-100.25,707.75,0.03,0.27,0,0.01,231,10.16,-,6,1.56,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:38 EST 2014,03-Mar-2014 11:31:38.594,-79.94605124,40.4437675,0.0,6.0,231.0,0.0,-9.67,-0.19,-0.77,0.01,-0.02,-0.04,-0.98,-0.16,0,-,994.39,-807.66,-,90,32.55,-100.25,700.25,0.03,0.27,0,0.01,231,10.16,-,6,-2.34,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:40 EST 2014,03-Mar-2014 11:31:40.581,-79.94605033,40.44376718,0.0,6.0,231.0,0.0,-12.72,-1.05,-1.53,0.33,-0.03,-0.13,-0.96,-0.16,0,-,994.22,-807.67,-,90,32.94,-100.25,710.25,0.03,0.27,0,0.01,231,10.16,-,6,1.56,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:42 EST 2014,03-Mar-2014 11:31:42.624,-79.94604991,40.44376696,0.0,5.0,231.0,0.0,-10.31,-0.53,-1.06,0.08,0.01,-0.05,-1.01,-0.18,0,-,994.35,-807.68,-,90,32.16,-100.25,683,0.03,0.27,0,0.01,231,10.16,-,5,0,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:44 EST 2014,03-Mar-2014 11:31:44.611,-79.94604973,40.44376687,0.0,5.0,231.0,0.0,-9.75,-0.32,-0.83,0.02,-0.05,-0.03,-0.95,-0.16,0,-,994.46,-807.69,-,90,31.76,-100.25,698.25,0.03,0.27,0,0.01,231,10.16,-,5,-1.56,0,0,-,3.37,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:46 EST 2014,03-Mar-2014 11:31:46.683,-79.94604975,40.44376683,0.0,5.0,231.0,0.0,-9.94,-0.34,-0.78,0.04,0.06,-0.07,-1.06,-0.18,0,-,994.48,-807.69,-,89,31.76,-100.25,707,0.03,0.27,0,0.01,231,10.16,-,5,2.34,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:48 EST 2014,03-Mar-2014 11:31:48.669,-79.94604955,40.44376674,0.0,5.0,231.0,0.0,-9.39,-0.3,-0.68,-0.02,-0.03,-0.01,-0.97,-0.18,0,-,994.46,-807.7,-,89,32.16,-100.25,697.75,0.03,0.27,0,0.01,231,10.16,-,5,-3.91,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:31:50 EST 2014,03-Mar-2014 11:31:50.672,-79.94604948,40.44376666,0.0,4.0,231.0,0.0,-9.05,-0.3,-0.4,-0.06,0.04,-0.05,-1.03,-0.19,0,-,994.37,-807.71,-,89,31.76,-100.26,715.75,0.03,0.27,0,0.01,231,10.16,-,4,2.34,0,0,-,3.32,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
