GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Average trip speed(whilst stopped or moving)(km/h),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine Load(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel used (trip)(gal),GPS Altitude(m),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 2(%),GPS Accuracy(m),Fuel Trim Bank 1 Short Term(%),GPS Bearing(°),GPS vs OBD Speed difference(km/h),Voltage (Control Module)(V),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Intake Manifold Pressure(psi),O2 Sensor1 Equivalence Ratio(alternate),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine kW (At the wheels)(kW),Horsepower (At the wheels)(hp),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Long Term Average)(mpg),Torque(Nm),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Speed (OBD)(km/h),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),CO? in g/km (Average)(g/km),Fuel Level (From Engine ECU)(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Throttle Position(Manifold)(%)
Mon Oct 28 10:17:37 EDT 2013,28-Oct-2013 10:17:44.393,-79.94584488,40.4437659,0,4,249,0,-9.45,-0.1,-2.36,0.01,-0.01,-0.01,-0.96,-0.34,0,14.69,992.6,-,0,36,34.51,-,1410,-,-,-,-,-,0,-,4,0,-,0,13.94,3.59,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:39 EDT 2013,28-Oct-2013 10:17:46.419,-79.94584463,40.44376558,0,4,249,0,-9.44,0.01,-2,0,-0.01,-0.01,-0.97,-0.32,0,14.66,992.57,459.29,0,36,70.2,69.6,1415.5,0,-,-,0,249,0,-,4,0,0,0,13.98,7.82,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:41 EDT 2013,28-Oct-2013 10:17:48.456,-79.94584457,40.44376546,0,5,249,0,-9.39,0.06,-2.02,0,-0.02,0,-0.96,-0.31,0,14.22,992.55,459.27,0,36,77.65,69.6,1258.5,0,0.62,0.01,0,249,0,-,5,0,0,0,13.96,7.65,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:43 EDT 2013,28-Oct-2013 10:17:50.161,-79.94584469,40.44376546,0,5,249,0,-9.38,0.07,-2.06,0,-0.01,0.01,-0.97,-0.33,0,14.15,992.62,459.24,0,36,68.24,69.59,1347.5,0,0.73,0.01,0,249,0,-,5,0,0,0,13.96,8.82,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:44 EDT 2013,28-Oct-2013 10:17:51.559,-79.94584478,40.44376547,0,5,249,0,-9.45,0.09,-2.14,0.01,-0.03,0.01,-0.95,-0.28,0,14.77,992.57,459.23,0,37,68.63,69.59,1281.25,0.01,0.72,0.01,0,249,0,-,5,-9.38,0,0,13.96,8.62,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:46 EDT 2013,28-Oct-2013 10:17:53.006,-79.94584473,40.4437654,0,6,249,0,-9.37,0,-2.06,0,-0.01,-0.01,-0.97,-0.31,0,15.85,992.56,459.21,0,38,69.8,69.59,1264.75,0.01,0.69,0.01,0,249,0,-,6,-8.59,0,0,13.96,8.67,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:47 EDT 2013,28-Oct-2013 10:17:54.539,-79.94584473,40.44376541,0,6,249,0,-9.35,0.09,-1.91,-0.01,-0.01,-0.02,-0.96,-0.32,0,15.8,992.64,459.19,0,38,67.45,69.59,1306.25,0.01,0.66,0.01,0,249,0,-,6,-6.25,0,0,13.96,8.89,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:49 EDT 2013,28-Oct-2013 10:17:56.036,-79.94584472,40.44376536,0,6,249,0,-9.41,-0.03,-2.04,0,-0.02,0,-0.96,-0.31,0,15.65,992.62,459.18,0,38,67.45,69.59,1303.75,0.01,0.66,0.01,0,249,0,-,6,-4.69,0,0,13.96,8.78,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:50 EDT 2013,28-Oct-2013 10:17:57.623,-79.94584472,40.44376534,0,5,249,0,-9.46,0.05,-2.21,0.01,-0.02,0,-0.96,-0.3,0,15.48,992.58,459.16,0,39,67.06,69.58,1307,0.01,0.67,0.01,0,249,0,-,5,-6.25,0,0,13.94,8.84,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:52 EDT 2013,28-Oct-2013 10:17:59.099,-79.94584469,40.44376532,0,5,249,0,-9.42,-0.06,-2.03,0,-0.01,0,-0.96,-0.34,0,15.63,992.59,459.14,0,40,67.06,69.58,1308.5,0.01,0.66,0.01,0,249,0,-,5,-4.69,0,0,13.96,8.64,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:53 EDT 2013,28-Oct-2013 10:18:00.636,-79.94584485,40.44376528,0,5,249,0,-9.44,-0.03,-2.16,0.01,-0.02,0,-0.96,-0.29,0,15.58,992.58,459.12,0,40,67.45,69.58,1289.75,0.01,0.65,0.01,0,249,0,-,5,-5.47,0,0,13.94,8.62,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:55 EDT 2013,28-Oct-2013 10:18:02.132,-79.94584493,40.44376543,0,5,249,0,-9.46,0.04,-2.04,0.01,-0.01,0,-0.97,-0.31,0,15.56,992.51,459.11,0,40,66.67,69.58,1287.5,0.01,0.65,0.01,0,249,0,-,5,-6.25,0,0,13.94,8.56,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:56 EDT 2013,28-Oct-2013 10:18:03.646,-79.94584491,40.44376545,0,5,249,0,-9.4,0.1,-1.96,0,-0.01,-0.01,-0.97,-0.33,0,15.46,992.57,459.09,0,41,66.27,69.58,1316.25,0.01,0.66,0.01,0,249,0,-,5,-6.25,0,0,13.94,8.73,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:58 EDT 2013,28-Oct-2013 10:18:05.151,-79.94584511,40.4437655,0,4,249,0,-9.39,0.05,-1.89,0,-0.01,-0.01,-0.97,-0.33,0,15.31,992.55,459.07,0,41,66.27,69.57,1317.75,0.01,0.66,0.01,0,249,0,-,4,-1.56,0,0,13.94,8.65,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:00 EDT 2013,28-Oct-2013 10:18:06.709,-79.94584573,40.44376555,0,4,249,0,-9.54,0.01,-2.1,0.01,0,0,-0.97,-0.31,0,14.69,992.52,459.06,0,41,65.88,69.57,1323.25,0.02,0.66,0.01,0,249,0,-,4,0.78,0,0,13.93,8.54,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:01 EDT 2013,28-Oct-2013 10:18:08.288,-79.94584615,40.44376559,0,4,249,0,-9.48,-0.02,-2.16,0.01,-0.01,0,-0.97,-0.32,0,14.57,992.52,459.04,0,42,65.88,69.57,1308.5,0.02,0.69,0.01,0,249,0,-,4,0,0,0,13.93,8.54,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:03 EDT 2013,28-Oct-2013 10:18:09.866,-79.94584639,40.4437656,0,4,249,0,-9.44,0.02,-2.17,0,-0.02,0,-0.96,-0.29,0,14.5,992.55,459.02,0,43,66.67,69.57,1286.5,0.02,0.7,0.01,0,249,0,-,4,-0.78,0,0,13.94,8.59,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:04 EDT 2013,28-Oct-2013 10:18:11.358,-79.94584658,40.44376569,0,4,249,0,-9.48,-0.01,-2.17,0.01,-0.01,0,-0.96,-0.32,0,14.61,992.61,459,0,43,65.88,69.57,1294.5,0.02,0.7,0.01,0.01,249,0,-,4,-1.56,0,0,13.91,8.56,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:06 EDT 2013,28-Oct-2013 10:18:12.879,-79.94584683,40.44376582,0,4,249,0,-9.46,0.02,-2.04,0.01,-0.02,0,-0.96,-0.3,0,14.52,992.55,458.99,0,43,65.49,69.56,1307,0.02,0.7,0.01,0.01,249,0,-,4,-2.34,0,0,13.91,8.6,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:07 EDT 2013,28-Oct-2013 10:18:14.485,-79.94584692,40.4437658,0,3,249,0,-9.43,0.01,-2.07,0,-0.02,0.01,-0.96,-0.3,0,14.59,992.59,458.97,0,44,66.27,69.56,1302.25,0.02,0.69,0.01,0.01,249,0,-,3,-1.56,0,0,13.94,8.5,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:09 EDT 2013,28-Oct-2013 10:18:16.030,-79.94584712,40.44376588,0,3,249,0,-9.44,-0.03,-1.92,0,0,0,-0.97,-0.33,0,14.53,992.58,458.95,0,45,65.49,69.56,1307.75,0.02,0.7,0.01,0.01,249,0,-,3,-2.34,0,0,13.91,8.7,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:10 EDT 2013,28-Oct-2013 10:18:17.581,-79.94584699,40.44376591,0,3,249,0,-9.48,0.04,-2.2,0.01,-0.01,-0.01,-0.97,-0.31,0,14.54,992.57,458.93,0,45,65.88,69.56,1303.75,0.02,0.69,0.01,0.01,249,0,-,3,-2.34,0,0,13.89,8.48,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:12 EDT 2013,28-Oct-2013 10:18:19.185,-79.945847,40.443766,0,3,249,0,-9.41,0.08,-2.04,0,-0.02,0,-0.96,-0.3,0,14.49,992.51,458.91,0,45,65.88,69.56,1299,0.03,0.69,0.01,0.01,249,0,-,3,-3.12,0,0,13.93,8.45,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:14 EDT 2013,28-Oct-2013 10:18:20.692,-79.94584716,40.44376619,0,3,249,0,-9.52,-0.07,-2.33,0.02,-0.01,0,-0.96,-0.32,0,14.42,992.56,458.9,0,46,34.12,69.55,1239,0.03,0.27,0,0.01,249,0,-,3,-2.34,0,0,13.91,3.28,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:15 EDT 2013,28-Oct-2013 10:18:22.280,-79.94584725,40.44376627,0,3,249,0,-9.5,0.01,-2.45,0.02,-0.03,0,-0.95,-0.35,0,14.63,992.56,458.9,0,46,31.37,69.55,1303.75,0.03,0.26,0,0.01,249,0,-,3,-7.81,0,0,13.89,3.23,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:17 EDT 2013,28-Oct-2013 10:18:23.771,-79.94584759,40.44376647,0,3,249,0,-9.58,-0.02,-2.37,0.02,-0.02,0.01,-0.96,-0.27,0,14.36,992.58,458.89,0,47,30.2,69.55,1347.5,0.03,0.26,0,0.01,249,0,-,3,-12.5,0,0,13.94,3.26,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:18 EDT 2013,28-Oct-2013 10:18:25.299,-79.94584786,40.4437666,0,3,249,0,-9.38,0.01,-1.64,0.02,0,-0.01,-0.97,-0.34,0,14.79,992.65,458.88,0,47,29.8,69.55,1313.25,0.03,0.26,0,0.01,249,0,-,3,-12.5,0,0,13.91,3.12,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:20 EDT 2013,28-Oct-2013 10:18:26.879,-79.9458484,40.44376684,0,3,249,0,-9.4,0.04,-1.83,0,-0.04,0,-0.95,-0.26,0,14.75,992.55,458.87,0,48,30.59,69.55,1311.5,0.03,0.24,0,0.01,249,0,-,3,-11.72,0,0,13.91,3.04,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:21 EDT 2013,28-Oct-2013 10:18:28.387,-79.94584857,40.44376693,0,3,249,0,-9.37,0.09,-1.55,-0.01,-0.01,-0.01,-0.96,-0.33,0,14.91,992.58,458.86,0,48,30.98,69.55,1287.5,0.03,0.25,0,0.01,249,0,-,3,-9.38,0,0,13.93,3.07,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:23 EDT 2013,28-Oct-2013 10:18:29.926,-79.94584884,40.44376715,0,3,249,0,-9.47,-0.07,-1.92,0,-0.01,-0.01,-0.97,-0.3,0,14.91,992.59,458.85,0,48,30.59,69.55,1299,0.03,0.24,0,0.01,249,0,-,3,-7.03,0,0,13.91,3.01,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:24 EDT 2013,28-Oct-2013 10:18:31.547,-79.94584907,40.44376725,0,3,249,0,-9.41,0.12,-1.84,0,0,0,-0.96,-0.34,0,14.81,992.57,458.84,0,48,30.2,69.55,1312.5,0.03,0.24,0,0.01,249,0,-,3,-7.03,0,0,13.91,3.04,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:26 EDT 2013,28-Oct-2013 10:18:33.028,-79.94584919,40.44376728,0,3,249,0,-9.52,-0.06,-2.39,0.02,-0.02,0.01,-0.96,-0.28,0,14.55,992.55,458.83,0,48,29.8,69.55,1315.5,0.03,0.24,0,0.01,249,0,-,3,-6.25,0,0,13.93,2.98,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:27 EDT 2013,28-Oct-2013 10:18:34.583,-79.94584936,40.44376733,0,4,249,0,-9.45,-0.03,-2.22,0.01,-0.01,0.01,-0.97,-0.33,0,14.74,992.65,458.83,0,48,30.2,69.55,1295.25,0.03,0.25,0,0.01,249,0,-,4,-4.69,0,0,13.93,3.03,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:29 EDT 2013,28-Oct-2013 10:18:36.074,-79.94584982,40.44376748,0,4,249,0,-9.37,0.08,-1.96,-0.01,-0.03,0,-0.96,-0.27,0,14.71,992.6,458.82,0,48,29.8,69.55,1300,0.03,0.24,0,0.01,249,0,-,4,-3.12,0,0,13.91,3,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:30 EDT 2013,28-Oct-2013 10:18:37.573,-79.94585008,40.44376757,0,4,249,0,-9.52,0.04,-2.36,0.02,-0.02,-0.01,-0.96,-0.29,0,14.68,992.6,458.81,0,49,29.41,69.55,1312.5,0.03,0.24,0,0.01,249,0,-,4,-3.12,0,0,13.91,3.01,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:32 EDT 2013,28-Oct-2013 10:18:39.193,-79.94585058,40.44376774,0,4,249,0,-9.44,-0.04,-2.14,0.01,-0.01,0,-0.96,-0.34,0,14.66,992.57,458.8,0,49,29.41,69.55,1309.25,0.03,0.24,0,0.01,249,0,-,4,-3.12,0,0,13.93,3.04,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:34 EDT 2013,28-Oct-2013 10:18:40.711,-79.94585126,40.44376798,0,4,249,0,-9.5,-0.09,-1.99,0.01,-0.02,0,-0.96,-0.29,0,14.69,992.61,458.79,0,49,29.8,69.55,1301.5,0.03,0.25,0,0.01,249,0,-,4,-3.12,0,0,13.91,3.06,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:35 EDT 2013,28-Oct-2013 10:18:42.174,-79.9458516,40.44376817,0,5,249,0,-9.44,0.01,-2.26,0.01,-0.01,0,-0.96,-0.33,0,14.7,992.6,458.78,0,50,30.2,69.54,1293.75,0.03,0.24,0,0.01,249,0,-,5,-3.12,0,0,13.93,3.04,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:37 EDT 2013,28-Oct-2013 10:18:43.701,-79.94585206,40.44376832,0,5,248,0,-9.42,-0.06,-1.99,0,-0.02,0.01,-0.96,-0.3,0,14.79,992.6,458.77,0,50,29.8,69.54,1289,0.03,0.23,0,0.01,249,0,-,5,-3.12,0,0,13.91,2.92,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:38 EDT 2013,28-Oct-2013 10:18:45.195,-79.94585228,40.44376836,0,6,248,0,-9.33,0,-1.75,-0.01,0,-0.01,-0.97,-0.34,0,14.65,992.61,458.77,0,50,29.8,69.54,1303,0.03,0.24,0,0.01,248,0,-,6,-3.12,0,0,13.89,2.98,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:40 EDT 2013,28-Oct-2013 10:18:46.827,-79.94585265,40.44376848,0,6,248,0,-9.51,-0.05,-2.47,0.02,0,0,-0.97,-0.35,0,14.78,992.54,458.76,0,50,29.8,69.54,1299,0.03,0.24,0,0.01,248,0,-,6,-3.12,0,0,13.91,2.95,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:41 EDT 2013,28-Oct-2013 10:18:48.382,-79.94585285,40.44376856,0,6,248,0,-9.45,0.05,-2.37,0.01,-0.01,-0.01,-0.97,-0.3,0,14.76,992.62,458.75,0,50,30.2,69.54,1300,0.03,0.24,0,0.01,248,0,-,6,-2.34,0,0,13.91,2.98,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:43 EDT 2013,28-Oct-2013 10:18:49.924,-79.9458532,40.44376878,0,6,248,0,-9.28,0.06,-2.38,0,-0.02,0.01,-0.95,-0.34,0,14.65,992.57,458.74,0,50,29.8,69.54,1308.5,0.03,0.24,0,0.01,248,0,-,6,-2.34,0,0,13.85,3.03,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:44 EDT 2013,28-Oct-2013 10:18:51.523,-79.94585338,40.4437689,0,6,248,0,-9.42,0.02,-2.09,0,-0.03,0,-0.96,-0.29,0,14.64,992.59,458.73,0,50,29.02,69.54,1304.5,0.03,0.24,0,0.01,248,0,-,6,-1.56,0,0,13.89,2.96,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:46 EDT 2013,28-Oct-2013 10:18:53.045,-79.94585373,40.44376927,0,6,248,0,-9.36,0.03,-1.71,-0.01,-0.03,0,-0.95,-0.27,0,14.6,992.54,458.72,0,51,29.8,69.54,1308.5,0.03,0.24,0,0.01,248,0,-,6,-0.78,0,0,13.91,2.96,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:47 EDT 2013,28-Oct-2013 10:18:54.560,-79.94585377,40.4437694,0,6,248,0,-9.37,0.03,-1.82,-0.01,-0.01,0,-0.96,-0.31,0,14.66,992.61,458.71,0,51,29.8,69.54,1292,0.03,0.25,0,0.01,248,0,-,6,-1.56,0,0,13.87,3.04,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:49 EDT 2013,28-Oct-2013 10:18:56.042,-79.94585345,40.44376938,0,7,248,0,-9.4,0.07,-2.06,0,-0.02,0.01,-0.96,-0.31,0,14.66,992.55,458.71,0,51,29.41,69.54,1312.5,0.03,0.24,0,0.01,248,0,-,7,-1.56,0,0,13.89,2.95,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:50 EDT 2013,28-Oct-2013 10:18:57.542,-79.94585335,40.44376936,0,7,248,0,-9.33,-0.02,-1.74,-0.01,0.02,0.01,-0.98,-0.37,0,14.72,992.55,458.7,0,51,29.41,69.54,1310,0.03,0.24,0,0.01,248,0,-,7,-0.78,0,0,13.91,2.95,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:52 EDT 2013,28-Oct-2013 10:18:59.048,-79.94585322,40.44376941,0,7,248,0,-9.42,0.04,-1.94,0,-0.02,0,-0.96,-0.3,0,14.61,992.58,458.69,0,51,29.02,69.54,1301.5,0.04,0.24,0,0.01,248,0,-,7,0,0,0,13.87,2.96,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:53 EDT 2013,28-Oct-2013 10:19:00.583,-79.9458533,40.44376948,0,6,248,0,-9.7,-0.31,-2.64,0.04,-0.04,-0.02,-0.95,-0.25,0,14.6,992.65,458.68,0,51,29.02,69.54,1294.5,0.04,0.24,0,0.01,248,0,-,6,0,0,0,13.89,2.96,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:55 EDT 2013,28-Oct-2013 10:19:02.025,-79.9458534,40.44376958,0,5,248,0,-9.44,-0.09,-2.14,0.01,0,0,-0.96,-0.35,0,14.73,992.54,458.67,0,51,29.02,69.53,1303,0.04,0.25,0,0.01,248,0,-,5,-0.78,0,0,13.91,3.03,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:56 EDT 2013,28-Oct-2013 10:19:03.456,-79.94585356,40.44376966,0,5,248,0,-9.41,-0.01,-2.1,0,-0.03,0.01,-0.95,-0.3,0,14.75,992.58,458.66,0,51,29.02,69.53,1295.25,0.04,0.23,0,0.01,248,0,-,5,0,0,0,13.87,2.89,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:58 EDT 2013,28-Oct-2013 10:19:04.871,-79.94585369,40.44376973,0,5,248,0,-9.47,0,-2.25,0.01,-0.01,0,-0.97,-0.33,0,14.57,992.59,458.65,0,52,29.8,69.53,1292,0.04,0.24,0,0.01,248,0,-,5,0,0,0,13.87,2.96,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:18:59 EDT 2013,28-Oct-2013 10:19:06.307,-79.94585377,40.4437698,0,5,248,0,-9.34,0.14,-1.62,-0.01,-0.03,0.01,-0.95,-0.27,0,14.66,992.56,458.65,0,52,29.02,69.53,1300.75,0.04,0.24,0,0.01,248,0,-,5,0.78,0,0,13.91,2.96,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:19:01 EDT 2013,28-Oct-2013 10:19:07.873,-79.94585372,40.44376985,0,5,248,0,-9.34,0.21,-1.82,-0.01,-0.01,-0.01,-0.95,-0.29,0,14.68,992.55,458.64,0,52,29.41,69.53,1312.5,0.04,0.24,0,0.01,248,0,-,5,0.78,0,0,13.87,2.93,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:19:02 EDT 2013,28-Oct-2013 10:19:09.441,-79.94585367,40.44376994,0,5,248,0,-9.51,-0.12,-2.47,0.01,-0.01,0.01,-0.96,-0.34,0,14.82,992.59,458.63,0,52,29.02,69.53,1284.25,0.04,0.24,0,0.01,248,0,-,5,0.78,0,0,13.87,2.93,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:19:04 EDT 2013,28-Oct-2013 10:19:10.996,-79.94585328,40.4437699,0,5,248,0,-9.43,-0.08,-2.12,0,0,0,-0.97,-0.36,0,14.6,992.56,458.62,0,52,29.02,69.53,1314.75,0.04,0.23,0,0.01,248,0,-,5,0.78,0,0,13.91,2.93,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:19:05 EDT 2013,28-Oct-2013 10:19:12.619,-79.94585311,40.44376988,0,5,248,0,-9.34,0.14,-1.17,-0.02,-0.03,0,-0.95,-0.22,0,14.62,992.6,458.61,0,53,29.02,69.53,1312.5,0.04,0.24,0,0.01,248,0,-,5,0.78,0,0,13.87,2.92,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:19:07 EDT 2013,28-Oct-2013 10:19:14.065,-79.94585272,40.44376979,0,6,248,0,-9.39,0.08,-1.91,0,-0.02,0.01,-0.96,-0.3,0,14.69,992.52,458.6,0,53,29.02,69.53,1308.5,0.04,0.23,0,0.01,248,0,-,6,0.78,0,0,13.87,2.89,18,-,-,-,167.56,-,-,10.31,9.7,29.11,-,0,0,0,0,-,-,-,-,-,-,-,-,-
