Subject_ID,Driving_session,Timestamps,year,month,date,hh,mm,ss,Event_detected,Specifics,Hand_status,Opposite_traffic,Left_lane,My_lane,Right_lane
26,Part1,"11:32:18 (11:46, 1:02)",2014,03,03,11,32,18,R_HAND_OFF,GEAR_SHIFT,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:33:10 (12:38, 1:54)",2014,03,03,11,33,10,R_HAND_OFF,GEAR_SHIFT,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:33:12 (12:40, 1:56)",2014,03,03,11,33,12,HEAD_MOVE,HEAD_WAY_TURNING_RIGHT,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:33:26 (12:54, 2:10)",2014,03,03,11,33,26,R_HAND_OFF,GEAR_SHIFT,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:34:37 (14:05, 3:21)",2014,03,03,11,34,37,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:34:38 (14:06, 3:22)",2014,03,03,11,34,38,HEAD_MOVE,HEAD_WAY_TURNING_RIGHT,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:34:40 (14:08, 3:24)",2014,03,03,11,34,40,HEAD_MOVE,HEAD_WAY_TURNING_LEFT,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:34:50 (14:18, 3:34)",2014,03,03,11,34,50,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,FAIRLY,NONE,NONE,NONE
26,Part1,"11:35:17 (14:45, 4:01)",2014,03,03,11,35,17,BOTH_HANDS_OFF,CELLPHONE,HAND_OFF_WHEEL,IGNORABLE,NONE,NONE,TIGHTLY
26,Part1,"11:35:37 (15:05, 4:21)",2014,03,03,11,35,37,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,IGNORABLE,NONE,NONE,TIGHTLY
26,Part1,"11:36:09 (15:37, 4:53)",2014,03,03,11,36,09,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:36:40 (16:08, 5:24)",2014,03,03,11,36,40,BOTH_HANDS_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:37:26 (16:54, 6:10)",2014,03,03,11,37,26,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,TIGHTLY
26,Part1,"11:37:33 (17:01, 6:17)",2014,03,03,11,37,33,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part1,"11:38:17 (17:45, 7:01)",2014,03,03,11,38,17,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:39:10 (18:38, 7:54)",2014,03,03,11,39,10,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:39:16 (18:44, 8:00)",2014,03,03,11,39,16,HEAD_MOVE,HEAD_WAY_TURNING_LEFT,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:40:02 (19:30, 8:46)",2014,03,03,11,40,02,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part1,"11:40:41 (20:09, 9:25)",2014,03,03,11,40,41,BOTH_HANDS_OFF,OTHERS_DRINK,HAND_OFF_WHEEL,NONE,NONE,TIGHTLY,TIGHTLY
26,Part1,"11:40:55 (20:23, 9:39)",2014,03,03,11,40,55,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,FAIRLY,NONE,TIGHTLY,TIGHTLY
26,Part1,"11:41:04 (20:32, 9:48)",2014,03,03,11,41,04,R_HAND_OFF,AC_CONTROL_SWITCHES,HAND_OFF_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part1,"11:41:31 (20:59, 10:15)",2014,03,03,11,41,31,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,IGNORABLE,IGNORABLE,NONE
26,Part1,"11:45:19 (24:47, 14:03)",2014,03,03,11,45,19,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part1,"11:45:34 (25:02, 14:18)",2014,03,03,11,45,34,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:45:36 (25:04, 14:20)",2014,03,03,11,45,36,HANDS_SHIFT_ON_WHEEL,L9R4toL12R4,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:46:05 (25:33, 14:49)",2014,03,03,11,46,05,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:47:25 (26:53, 16:09)",2014,03,03,11,47,25,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,NONE,TIGHTLY
26,Part1,"11:49:11 (28:39, 17:55)",2014,03,03,11,49,11,HANDS_SHIFT_ON_WHEEL,L12R4toL9R4,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part1,"11:49:17 (28:45, 18:01)",2014,03,03,11,49,17,HAND_MOVE_AROUND_WHEEL,R_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,TIGHTLY
26,Part1,"11:49:37 (29:05, 18:21)",2014,03,03,11,49,37,HEAD_MOVE,HEAD_WAY_TURNING_RIGHT,BOTH_HANDS_ON_WHEEL,NONE,TIGHTLY,NONE,TIGHTLY
26,Part1,"11:50:09 (29:37, 18:53)",2014,03,03,11,50,09,R_HAND_OFF,CELL_PHONE,HAND_OFF_WHEEL,NONE,IGNORABLE,TIGHTLY,NONE
26,Part1,"11:50:40 (30:08, 19:24)",2014,03,03,11,50,40,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,IGNORABLE,IGNORABLE,NONE
26,Part1,"11:51:06 (30:34, 19:50)",2014,03,03,11,51,06,HANDS_SHIFT_ON_WHEEL,L1R2toL12R4,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:53:40 (33:08, 22:24)",2014,03,03,11,53,40,HANDS_SHIFT_ON_WHEEL,L1R2toL1R3,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part1,"11:53:52 (33:20, 22:36)",2014,03,03,11,53,52,HANDS_SHIFT_ON_WHEEL,L1R3toL12R4,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part1,"11:53:56 (33:24, 22:40)",2014,03,03,11,53,56,HANDS_SHIFT_ON_WHEEL,L12R4toL11R1,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part1,"11:56:04 (35:32, 24:48)",2014,03,03,11,56,04,HAND_MOVE_AROUND_WHEEL,R_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part1,"11:57:06 (36:34, 25:50)",2014,03,03,11,57,06,HANDS_SHIFT_ON_WHEEL,L11R1toL12R4,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"11:58:14 (37:42, 26:58)",2014,03,03,11,58,14,R_HAND_OFF,CELLPHONE,HAND_OFF_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part1,"11:58:36 (38:04, 27:20)",2014,03,03,11,58,36,HAND_MOVE_AROUND_WHEEL,R_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part1,"11:58:49 (38:17, 27:33)",2014,03,03,11,58,49,R_HAND_OFF,CAR_RADIO,HAND_OFF_WHEEL,IGNORABLE,NONE,IGNORABLE,IGNORABLE
26,Part1,"11:59:04 (38:32, 27:48)",2014,03,03,11,59,04,HAND_MOVE_AROUND_WHEEL,R_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part1,"11:59:29 (38:57, 28:13)",2014,03,03,11,59,29,R_HAND_OFF,CAR_RADIO,HAND_OFF_WHEEL,IGNORABLE,NONE,IGNORABLE,NONE
26,Part1,"11:59:43 (39:11, 28:27)",2014,03,03,11,59,43,R_HAND_OFF,AC_CONTROL_SWITCHES,HAND_OFF_WHEEL,NONE,IGNORABLE,IGNORABLE,NONE
26,Part1,"12:01:14 (40:42, 29:58)",2014,03,03,12,01,14,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,IGNORABLE,IGNORABLE,NONE
26,Part1,"12:02:42 (42:10, 31:26)",2014,03,03,12,02,42,HAND_MOVE_AROUND_WHEEL,R_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part1,"12:02:54 (42:22, 32:38)",2014,03,03,12,02,54,R_HAND_OFF,CAR_RADIO,HAND_OFF_WHEEL,NONE,IGNORABLE,IGNORABLE,IGNORABLE
26,Part1,"12:04:55 (44:23, 34:39)",2014,03,03,12,04,55,R_HAND_OFF,OTHERS_SELF,HAND_OFF_WHEEL,IGNORABLE,IGNORABLE,IGNORABLE,NONE
26,Part1,"12:05:12 (44:40, 34:56)",2014,03,03,12,05,12,HAND_MOVE_AROUND_WHEEL,R_BLINKER,BOTH_HANDS_ON_WHEEL,IGNORABLE,IGNORABLE,IGNORABLE,NONE
26,Part1,"12:06:57 (46:25, 36:41)",2014,03,03,12,06,57,R_HAND_OFF,AC_CONTROL_SWITCHES,HAND_OFF_WHEEL,NONE,IGNORABLE,NONE,NONE
26,Part1,"12:07:57 (47:25, 37:41)",2014,03,03,12,07,57,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,TIGHTLY,FAIRLY,TIGHTLY
26,Part1,"12:09:16 (48:44, 39:00)",2014,03,03,12,09,16,HAND_MOVE_AROUND_WHEEL,L_BLINKER,HAND_OFF_WHEEL,NONE,TIGHTLY,TIGHTLY,TIGHTLY
26,Part1,"12:13:29 (52:57, 43:13)",2014,03,03,12,13,29,R_HAND_OFF,CAR_RADIO,HAND_OFF_WHEEL,TIGHTLY,NONE,NONE,NONE
26,Part1,"12:15:46 (55:14, 45:30)",2014,03,03,12,15,46,R_HAND_OFF,CAR_RADIO,HAND_OFF_WHEEL,NONE,IGNORABLE,NONE,NONE
26,Part1,"12:17:31 (56:59, 46:14)",2014,03,03,12,17,31,HAND_MOVE_AROUND_WHEEL,L_BLINKER,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"12:18:21 (57:49, 47:04)",2014,03,03,12,18,21,HAND_MOVE_AROUND_WHEEL,R_BLINKER,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"12:19:24 (58:52, 48:07)",2014,03,03,12,19,24,HANDS_SHIFT_ON_WHEEL,L11R2toL12R4,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part1,"12:19:39 (59:07, 48:22)",2014,03,03,12,19,39,HANDS_SHIFT_ON_WHEEL,L12R4toL7R5,BOTH_HANDS_ON_WHEEL,TIGHTLY,NONE,IGNORABLE,NONE
26,Part1,"12:19:49 (59:17, 48:32)",2014,03,03,12,19,49,HANDS_SHIFT_ON_WHEEL,L7R5toL10R4,BOTH_HANDS_ON_WHEEL,IGNORABLE,NONE,IGNORABLE,NONE
26,Part1,"12:19:55 (59:23, 48:38)",2014,03,03,12,19,55,HAND_MOVE_AROUND_WHEEL,R_BLINKER,HAND_OFF_WHEEL,IGNORABLE,NONE,IGNORABLE,NONE
26,Part1,"12:20:16 (59:44, 48:59)",2014,03,03,12,20,16,HANDS_SHIFT_ON_WHEEL,L7R5toL7R2,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part2,"12:35:51 (2:53, 1:17)",2014,03,03,12,35,51,R_HAND_OFF,CAR_RADIO,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:35:52 (2:54, 1:18)",2014,03,03,12,35,52,R_HAND_OFF,GEAR_SHIFT,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:36:20 (3:22, 1:46)",2014,03,03,12,36,20,R_HAND_OFF,GEAR_SHIFT,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:36:31 (3:33, 1:57)",2014,03,03,12,36,31,R_HAND_OFF,GEAR_SHIFT,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:37:05 (4:07, 2:31)",2014,03,03,12,37,05,L_HAND_OFF,OTHERS_SELF,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:37:08 (4:10, 2:34)",2014,03,03,12,37,08,R_HAND_OFF,OTHERS_SELF,HAND_OFF_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:37:11 (4:13, 2:37)",2014,03,03,12,37,11,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:37:26 (4:28, 2:52)",2014,03,03,12,37,26,HEAD_MOVE,HEAD_WAY_TURNING_RIGHT,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:37:35 (4:37, 3:01)",2014,03,03,12,37,35,GPS_VOICE_COMMAND,TURN_LEFT,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:37:42 (4:44, 3:08)",2014,03,03,12,37,42,GPS_VOICE_COMMAND,CONTINUE_0.2MILES,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:38:37 (5:39, 4:03)",2014,03,03,12,38,37,GPS_VOICE_COMMAND,TURN_RIGHT,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:38:50 (5:52, 4:16)",2014,03,03,12,38,50,GPS_VOICE_COMMAND,CONTINUE_0.2MILES,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:39:10 (6:12, 4:36)",2014,03,03,12,39,10,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,NONE,NONE
26,Part2,"12:40:20 (7:22, 5:46)",2014,03,03,12,40,20,GPS_VOICE_COMMAND,CONTINUE_1MILE,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part2,"12:40:30 (7:32, 5:56)",2014,03,03,12,40,30,L_HAND_OFF,OTHERS_SELF,HAND_OFF_WHEEL,NONE,NONE,FAIRLY,IGNORABLE
26,Part2,"12:44:11 (11:13, 9:37)",2014,03,03,12,44,11,GPS_VOICE_COMMAND,KEEP_LEFT_0.1MILES,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,IGNORABLE
26,Part2,"12:44:25 (11:27, 9:51)",2014,03,03,12,44,25,GPS_VOICE_COMMAND,KEEP_LEFT,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part2,"12:44:30 (11:32, 9:56)",2014,03,03,12,44,30,HAND_MOVE_AROUND_WHEEL,L_BLINKER,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,NONE
26,Part2,"12:44:37 (11:39, 10:03)",2014,03,03,12,44,37,GPS_VOICE_COMMAND,CONTINUE_0.3MILES,BOTH_HANDS_ON_WHEEL,NONE,NONE,IGNORABLE,NONE
