Timestamp,BR,RtoR
01/11/2013 11:25:55.612,22,0.212
01/11/2013 11:25:55.668,20,-0.288
01/11/2013 11:25:55.724,19,-0.288
01/11/2013 11:25:55.780,18,-0.288
01/11/2013 11:25:55.836,17,-0.288
01/11/2013 11:25:55.892,16,0.2
01/11/2013 11:25:55.948,15,0.2
01/11/2013 11:25:56.004,14,0.2
01/11/2013 11:25:56.060,13,0.2
01/11/2013 11:25:56.116,12,0.2
01/11/2013 11:25:56.172,12,0.2
01/11/2013 11:25:56.228,11,0.2
01/11/2013 11:25:56.284,10,0.2
01/11/2013 11:25:56.340,10,0.2
01/11/2013 11:25:56.396,9,-0.456
01/11/2013 11:25:56.452,8,-0.456
01/11/2013 11:25:56.508,8,-0.456
01/11/2013 11:25:56.564,7,-0.456
01/11/2013 11:25:56.620,7,-0.456
01/11/2013 11:25:56.676,6,0.328
01/11/2013 11:25:56.732,6,0.328
01/11/2013 11:25:56.788,6,0.328
01/11/2013 11:25:56.844,5,0.328
01/11/2013 11:25:56.900,5,0.328
01/11/2013 11:25:56.956,5,0.328
01/11/2013 11:25:57.012,4,0.328
01/11/2013 11:25:57.068,4,0.328
01/11/2013 11:25:57.124,4,-0.548
01/11/2013 11:25:57.180,3,-0.548
01/11/2013 11:25:57.236,3,-0.548
01/11/2013 11:25:57.292,3,-0.548
01/11/2013 11:25:57.348,3,-0.548
01/11/2013 11:25:57.404,3,0.072
01/11/2013 11:25:57.460,2,0.072
01/11/2013 11:25:57.516,2,0.072
01/11/2013 11:25:57.572,2,0.072
01/11/2013 11:25:57.628,2,-0.252
01/11/2013 11:25:57.684,2,-0.252
01/11/2013 11:25:57.740,2,-0.252
01/11/2013 11:25:57.796,1,-0.252
01/11/2013 11:25:57.852,1,-0.252
01/11/2013 11:25:57.908,1,-0.252
01/11/2013 11:25:57.964,1,-0.252
01/11/2013 11:25:58.020,1,-0.252
01/11/2013 11:25:58.076,1,-0.252
01/11/2013 11:25:58.132,1,0.608
01/11/2013 11:25:58.188,1,0.608
01/11/2013 11:25:58.244,1,0.608
01/11/2013 11:25:58.300,0,0.608
01/11/2013 11:25:58.356,0,0.608
01/11/2013 11:25:58.412,0,-0.144
01/11/2013 11:25:58.468,0,-0.144
01/11/2013 11:25:58.524,0,-0.144
01/11/2013 11:25:58.580,0,-0.144
01/11/2013 11:25:58.636,0,-0.144
01/11/2013 11:25:58.692,0,-0.144
01/11/2013 11:25:58.748,0,-0.144
01/11/2013 11:25:58.804,0,-0.144
01/11/2013 11:25:58.860,0,0.512
01/11/2013 11:25:58.916,0,0.512
01/11/2013 11:25:58.972,0,0.512
01/11/2013 11:25:59.028,0,0.512
01/11/2013 11:25:59.084,0,0.512
01/11/2013 11:25:59.140,0,0.512
01/11/2013 11:25:59.196,0,0.512
01/11/2013 11:25:59.252,0,0.512
01/11/2013 11:25:59.308,0,0.512
01/11/2013 11:25:59.364,0,-0.604
01/11/2013 11:25:59.420,0,-0.604
01/11/2013 11:25:59.476,0,-0.604
01/11/2013 11:25:59.532,0,-0.604
01/11/2013 11:25:59.588,0,-0.604
01/11/2013 11:25:59.644,0,0.116
01/11/2013 11:25:59.700,0,0.116
01/11/2013 11:25:59.756,0,0.116
01/11/2013 11:25:59.812,0,0.116
01/11/2013 11:25:59.868,0,-0.372
01/11/2013 11:25:59.924,0,-0.372
01/11/2013 11:25:59.980,0,-0.372
01/11/2013 11:26:00.036,0,-0.372
01/11/2013 11:26:00.092,0,-0.372
01/11/2013 11:26:00.148,0,0.296
01/11/2013 11:26:00.204,0,0.296
01/11/2013 11:26:00.260,0,0.296
01/11/2013 11:26:00.316,0,0.296
01/11/2013 11:26:00.372,0,-0.08
01/11/2013 11:26:00.428,0,-0.08
01/11/2013 11:26:00.484,0,-0.08
01/11/2013 11:26:00.540,0,-0.08
01/11/2013 11:26:00.596,0,0.38
01/11/2013 11:26:00.652,0,0.38
01/11/2013 11:26:00.708,0,0.38
01/11/2013 11:26:00.764,0,0.38
01/11/2013 11:26:00.820,0,0.38
01/11/2013 11:26:00.876,0,0.38
01/11/2013 11:26:00.932,0,0.38
01/11/2013 11:26:00.988,0,0.38
01/11/2013 11:26:01.044,0,0.38
01/11/2013 11:26:01.100,0,-0.36
01/11/2013 11:26:01.156,0,-0.36
01/11/2013 11:26:01.212,0,-0.36
01/11/2013 11:26:01.268,0,-0.36
01/11/2013 11:26:01.324,0,-0.36
01/11/2013 11:26:01.380,0,-0.36
01/11/2013 11:26:01.436,0,-0.36
01/11/2013 11:26:01.492,0,-0.36
01/11/2013 11:26:01.548,0,-0.36
01/11/2013 11:26:01.604,0,-0.36
01/11/2013 11:26:01.660,0,-0.36
01/11/2013 11:26:01.716,0,-0.36
01/11/2013 11:26:01.772,0,-0.36
01/11/2013 11:26:01.828,0,-0.36
01/11/2013 11:26:01.884,0,0.896
01/11/2013 11:26:01.940,0,0.896
01/11/2013 11:26:01.996,0,0.896
01/11/2013 11:26:02.052,0,0.896
01/11/2013 11:26:02.108,0,-0.124
01/11/2013 11:26:02.164,0,-0.124
01/11/2013 11:26:02.220,0,-0.124
01/11/2013 11:26:02.276,0,-0.124
01/11/2013 11:26:02.332,0,-0.124
01/11/2013 11:26:02.388,0,-0.124
01/11/2013 11:26:02.444,0,-0.124
01/11/2013 11:26:02.500,0,-0.124
01/11/2013 11:26:02.556,0,-0.124
01/11/2013 11:26:02.612,0,0.48
01/11/2013 11:26:02.668,0,0.48
01/11/2013 11:26:02.724,0,0.48
01/11/2013 11:26:02.780,0,0.48
01/11/2013 11:26:02.836,0,0.48
01/11/2013 11:26:02.892,0,0.48
01/11/2013 11:26:02.948,0,0.48
01/11/2013 11:26:03.004,0,0.48
01/11/2013 11:26:03.060,0,0.48
01/11/2013 11:26:03.116,0,0.48
01/11/2013 11:26:03.172,0,0.48
01/11/2013 11:26:03.228,0,0.48
01/11/2013 11:26:03.284,0,0.48
01/11/2013 11:26:03.340,0,-0.968
01/11/2013 11:26:03.396,0,-0.968
01/11/2013 11:26:03.452,0,-0.968
01/11/2013 11:26:03.508,0,-0.968
01/11/2013 11:26:03.564,0,-0.968
01/11/2013 11:26:03.620,0,-0.968
01/11/2013 11:26:03.676,0,-0.968
01/11/2013 11:26:03.732,0,-0.968
01/11/2013 11:26:03.788,0,-0.968
01/11/2013 11:26:03.844,0,0.336
01/11/2013 11:26:03.900,0,0.336
01/11/2013 11:26:03.956,0,0.336
01/11/2013 11:26:04.012,0,0.336
01/11/2013 11:26:04.068,0,-0.22
01/11/2013 11:26:04.124,0,-0.22
01/11/2013 11:26:04.180,0,-0.22
01/11/2013 11:26:04.236,0,-0.22
01/11/2013 11:26:04.292,0,-0.22
01/11/2013 11:26:04.348,0,-0.22
01/11/2013 11:26:04.404,0,-0.22
01/11/2013 11:26:04.460,0,-0.22
01/11/2013 11:26:04.516,0,-0.22
01/11/2013 11:26:04.572,0,0.42
01/11/2013 11:26:04.628,0,0.42
01/11/2013 11:26:04.684,0,0.42
01/11/2013 11:26:04.740,0,0.42
01/11/2013 11:26:04.796,0,0.42
01/11/2013 11:26:04.852,0,-0.48
01/11/2013 11:26:04.908,0,-0.48
01/11/2013 11:26:04.964,0,-0.48
01/11/2013 11:26:05.020,0,-0.48
01/11/2013 11:26:05.076,0,0.184
01/11/2013 11:26:05.132,0,0.184
01/11/2013 11:26:05.188,0,0.184
01/11/2013 11:26:05.244,0,0.184
01/11/2013 11:26:05.300,0,0.184
01/11/2013 11:26:05.356,0,0.184
01/11/2013 11:26:05.412,0,0.184
01/11/2013 11:26:05.468,0,0.184
01/11/2013 11:26:05.524,0,0.184
01/11/2013 11:26:05.580,0,0.184
01/11/2013 11:26:05.636,0,0.184
01/11/2013 11:26:05.692,0,0.184
01/11/2013 11:26:05.748,0,0.184
01/11/2013 11:26:05.804,0,-0.828
01/11/2013 11:26:05.860,0,-0.828
01/11/2013 11:26:05.916,0,-0.828
01/11/2013 11:26:05.972,0,-0.828
01/11/2013 11:26:06.028,0,-0.828
