subject,session,UTC_Timestamp,BR_mean,BR_stdev,BR_1std_BB_RR,B_level,B_fluctuation,BF_elapsed_time,RtoR_mean,RtoR_stdev,RtoR_1std
5,PRE_SHAKING1,2013-11-1T11:27:30.000-05:00,0,0,0,Low,Breath_holding,1,0,0,0
5,PRE_SHAKING1,2013-11-1T11:27:31.000-05:00,75.5556,88.7695,75.5556,Low,Breathing_in,1,0.164222,0.241545,0.164222
5,PRE_SHAKING1,2013-11-1T11:27:32.000-05:00,252.722,145.012,177.167,Low,Breathing_in,2,0.208,0.429921,0.0437778
5,PRE_SHAKING1,2013-11-1T11:27:33.000-05:00,-183.529,46.5,-436.252,Low,Breathing_out,1,-1.008,4.44089e-016,-1.216
5,PRE_SHAKING1,2013-11-1T11:27:34.000-05:00,-19.1667,27.1052,164.363,Low,Breathing_in,1,0.485556,1.19145,1.49356
5,PRE_SHAKING1,2013-11-1T11:27:35.000-05:00,16.2222,28.0962,35.3889,Low,Breath_holding,1,1.09956,0.951609,0.614
5,PRE_SHAKING1,2013-11-1T11:27:36.000-05:00,-35.1667,32.3389,-51.3889,Low,Breathing_out,1,-1.316,0.780646,-2.41556
5,PRE_SHAKING1,2013-11-1T11:27:37.000-05:00,-44.3889,16.5198,-9.22222,Low,Breath_holding,1,0.582667,0.69169,1.89867
5,PRE_SHAKING1,2013-11-1T11:27:38.000-05:00,35.6667,56.1565,80.0556,Low,Breathing_in,1,-0.0897778,0.423289,-0.672444
5,PRE_SHAKING1,2013-11-1T11:27:39.000-05:00,31.4444,60.9756,-4.22222,Low,Breath_holding,1,0.524,1.11022e-016,0.613778
5,PRE_SHAKING1,2013-11-1T11:27:40.000-05:00,-73.8824,19.4902,-105.327,Low,Breathing_out,1,-0.185882,0.721847,-0.709882
5,PRE_SHAKING1,2013-11-1T11:27:41.000-05:00,-24.1667,17.88,49.7157,Low,Breath_holding,1,-0.124222,0.367839,0.0616601
5,PRE_SHAKING1,2013-11-1T11:27:42.000-05:00,10.9444,6.71211,35.1111,Low,Breath_holding,2,0.153556,0.452047,0.277778
5,PRE_SHAKING1,2013-11-1T11:27:43.000-05:00,119.556,127.335,108.611,Low,Breathing_in,1,0.0486667,0.201507,-0.104889
5,PRE_SHAKING1,2013-11-1T11:27:44.000-05:00,30.3333,54.6484,-89.2222,Low,Breathing_out,1,-0.04,6.93889e-018,-0.0886667
5,PRE_SHAKING1,2013-11-1T11:27:45.000-05:00,40.5,41.5816,10.1667,Low,Breath_holding,1,0.472,0.957864,0.512
5,PRE_SHAKING1,2013-11-1T11:27:46.000-05:00,-5.61111,93.8392,-46.1111,Low,Breath_holding,2,0.116,0.628761,-0.356
5,PRE_SHAKING1,2013-11-1T11:27:47.000-05:00,-120.059,30.2567,-114.448,Low,Breathing_out,1,-0.0788235,0.369021,-0.194824
5,PRE_SHAKING1,2013-11-1T11:27:48.000-05:00,-64.0556,21.0303,56.0033,Low,Breathing_in,1,-0.161333,0.524866,-0.0825098
5,PRE_SHAKING1,2013-11-1T11:27:49.000-05:00,56.7222,105.703,120.778,Low,Breathing_in,2,-0.109111,0.303549,0.0522222
5,BASELINE1,2013-11-1T11:32:40.000-05:00,101,128.302,44.2778,Low,Breath_holding,1,-0.28,1.11022e-016,-0.170889
5,BASELINE1,2013-11-1T11:32:41.000-05:00,-12.7647,7.83303,-113.765,Low,Breathing_out,1,-0.114588,0.69492,0.165412
5,BASELINE1,2013-11-1T11:32:42.000-05:00,27.6111,8.78217,40.3758,Low,Breath_holding,1,0.381333,0.57373,0.495922
5,BASELINE1,2013-11-1T11:32:43.000-05:00,-19.3889,14.4343,-47,Low,Breath_holding,2,-0.221333,0.648653,-0.602667
5,BASELINE1,2013-11-1T11:32:44.000-05:00,-22.5,8.18026,-3.11111,Low,Breath_holding,3,-0.314889,0.633914,-0.0935556
5,BASELINE1,2013-11-1T11:32:45.000-05:00,20.5556,18.2337,43.0556,Low,Breath_holding,4,0.164,0.701997,0.478889
5,BASELINE1,2013-11-1T11:32:46.000-05:00,19.2222,19.9682,-1.33333,Low,Breath_holding,5,0.156667,0.696147,-0.00733333
5,BASELINE1,2013-11-1T11:32:47.000-05:00,-18.3333,3.12694,-37.5556,Low,Breath_holding,6,-0.310889,0.640336,-0.467556
5,BASELINE1,2013-11-1T11:32:48.000-05:00,-2.70588,5.51751,15.6275,Low,Breath_holding,7,0.131765,0.712637,0.442654
5,BASELINE1,2013-11-1T11:32:49.000-05:00,32.6111,10.2585,35.317,Low,Breath_holding,8,-0.00822222,0.700389,-0.139987
5,BASELINE1,2013-11-1T11:32:50.000-05:00,-2.94444,17.7872,-35.5556,Low,Breath_holding,9,-0.140667,0.661047,-0.132444
5,BASELINE1,2013-11-1T11:32:51.000-05:00,-19.9444,5.87341,-17,Low,Breath_holding,10,-0.234667,0.652424,-0.094
5,BASELINE1,2013-11-1T11:32:52.000-05:00,20.0556,16.6616,40,Low,Breath_holding,11,0.412667,0.620023,0.647333
5,BASELINE1,2013-11-1T11:32:53.000-05:00,18.5,17.88,-1.55556,Low,Breath_holding,12,-0.0777778,0.76722,-0.490444
5,BASELINE1,2013-11-1T11:32:54.000-05:00,-13.7778,2.48452,-32.2778,Low,Breath_holding,13,-0.320667,0.682604,-0.242889
5,BASELINE1,2013-11-1T11:32:55.000-05:00,-14.0588,3.57229,-0.281046,Low,Breath_holding,14,0.352235,0.598119,0.672902
5,BASELINE1,2013-11-1T11:32:56.000-05:00,-8.44444,6.67684,5.61438,Low,Breath_holding,15,-0.0533333,0.745356,-0.405569
