subject,session,UTC_Timestamp,ECG_mean,ECG_stdev,ECG_1std
5,BASELINE1,2013-11-1T11:33:32.000-05:00,2058.33,146.895,3.184
5,BASELINE1,2013-11-1T11:33:33.000-05:00,2053.21,96.3898,-5.12
5,BASELINE1,2013-11-1T11:33:34.000-05:00,2054.18,93.3805,0.976
5,BASELINE1,2013-11-1T11:33:35.000-05:00,2056.39,146.565,2.208
5,BASELINE1,2013-11-1T11:33:36.000-05:00,2054.79,102.483,-1.6
5,BASELINE1,2013-11-1T11:33:37.000-05:00,2054.01,94.6656,-0.784
5,BASELINE1,2013-11-1T11:33:38.000-05:00,2055.4,99.7868,1.392
5,BASELINE1,2013-11-1T11:33:39.000-05:00,2056.02,146.823,0.624
5,BASELINE1,2013-11-1T11:33:40.000-05:00,2052.74,101.435,-3.28
5,DRIVING1,2013-11-1T11:35:10.000-05:00,2079,0,26.256
5,DRIVING1,2013-11-1T11:35:11.000-05:00,2053.42,127.994,-25.584
5,DRIVING1,2013-11-1T11:35:12.000-05:00,2054.62,95.7496,1.2
5,DRIVING1,2013-11-1T11:35:13.000-05:00,2057.13,137.906,2.512
5,DRIVING1,2013-11-1T11:35:14.000-05:00,2054.7,142.773,-2.432
5,DRIVING1,2013-11-1T11:35:15.000-05:00,2047.72,117.661,-6.976
5,DRIVING1,2013-11-1T11:35:16.000-05:00,2054.15,116.922,6.432
5,DRIVING1,2013-11-1T11:35:17.000-05:00,2063.96,128.456,9.808
5,DRIVING1,2013-11-1T11:35:18.000-05:00,2060.5,123.825,-3.456
5,DRIVING1,2013-11-1T11:35:19.000-05:00,2044.34,413.066,-16.16
5,DRIVING1,2013-11-1T11:35:20.000-05:00,2062.01,122.534,17.664
5,DRIVING1,2013-11-1T11:35:21.000-05:00,2053.34,84.1107,-8.672
5,DRIVING1,2013-11-1T11:35:22.000-05:00,2055.59,122.798,2.256
5,DRIVING1,2013-11-1T11:35:23.000-05:00,2054.17,87.1292,-1.424
5,DRIVING1,2013-11-1T11:35:24.000-05:00,2055,115.486,0.832
5,DRIVING1,2013-11-1T11:35:25.000-05:00,2057.62,118.6,2.624
5,DRIVING1,2013-11-1T11:35:26.000-05:00,2052.89,94.4184,-4.736
5,DRIVING1,2013-11-1T11:35:27.000-05:00,2054.6,128.385,1.712
5,DRIVING1,2013-11-1T11:35:28.000-05:00,2046.44,209.4,-8.16
5,DRIVING1,2013-11-1T11:35:29.000-05:00,2066.41,171.63,19.968
5,DRIVING1,2013-11-1T11:35:30.000-05:00,2052.63,99.7258,-13.776
5,DRIVING1,2013-11-1T11:35:31.000-05:00,2055.03,126.469,2.4
5,DRIVING1,2013-11-1T11:35:32.000-05:00,2056.17,125.214,1.136
5,DRIVING1,2013-11-1T11:35:33.000-05:00,2054.44,92.6813,-1.728
5,DRIVING1,2013-11-1T11:35:34.000-05:00,2054.86,140.143,0.416
5,DRIVING1,2013-11-1T11:35:35.000-05:00,2055.4,135.465,0.544
5,DRIVING1,2013-11-1T11:35:36.000-05:00,2055.37,104.606,-0.032
5,DRIVING1,2013-11-1T11:35:37.000-05:00,2053.98,140.914,-1.392
5,DRIVING1,2013-11-1T11:35:38.000-05:00,2053.43,95.3778,-0.544
5,DRIVING1,2013-11-1T11:35:39.000-05:00,2058.68,138.372,5.248
5,DRIVING1,2013-11-1T11:35:40.000-05:00,2054.18,141.939,-4.496
5,DRIVING1,2013-11-1T11:35:41.000-05:00,2053.93,91.4848,-0.256
5,DRIVING1,2013-11-1T11:35:42.000-05:00,2055.56,125.543,1.632
5,DRIVING1,2013-11-1T11:35:43.000-05:00,2054.68,128.396,-0.88
5,DRIVING1,2013-11-1T11:35:44.000-05:00,2056.01,132.188,1.328
5,DRIVING1,2013-11-1T11:35:45.000-05:00,2048.2,114.564,-7.808
5,DRIVING1,2013-11-1T11:35:46.000-05:00,2061.45,125.671,13.248
5,DRIVING1,2013-11-1T11:35:47.000-05:00,2055.16,131.293,-6.288
5,DRIVING1,2013-11-1T11:35:48.000-05:00,2059.26,144.85,4.096
5,DRIVING1,2013-11-1T11:35:49.000-05:00,2051.02,93.3258,-8.24
5,DRIVING1,2013-11-1T11:35:50.000-05:00,2054.78,135.311,3.76
5,DRIVING1,2013-11-1T11:35:51.000-05:00,2057.26,132.803,2.48
5,DRIVING1,2013-11-1T11:35:52.000-05:00,2053.58,96.0797,-3.68
5,DRIVING1,2013-11-1T11:35:53.000-05:00,2055.4,148.964,1.824
5,DRIVING1,2013-11-1T11:35:54.000-05:00,2054.9,141.567,-0.496
5,DRIVING1,2013-11-1T11:35:55.000-05:00,2054.81,97.247,-0.096
5,DRIVING1,2013-11-1T11:35:56.000-05:00,2055.85,146.471,1.04
5,DRIVING1,2013-11-1T11:35:57.000-05:00,2052.97,135.36,-2.88
5,DRIVING1,2013-11-1T11:35:58.000-05:00,2060.66,141.653,7.696
5,DRIVING1,2013-11-1T11:35:59.000-05:00,2050.78,102.331,-9.888
5,DRIVING1,2013-11-1T11:36:00.000-05:00,2055.45,132.661,4.672
5,DRIVING1,2013-11-1T11:36:01.000-05:00,2054.71,143.479,-0.736
5,DRIVING1,2013-11-1T11:36:02.000-05:00,2056.28,138.491,1.568
5,DRIVING1,2013-11-1T11:36:03.000-05:00,2054.42,92.998,-1.856
5,DRIVING1,2013-11-1T11:36:04.000-05:00,2055.06,142.122,0.64
5,DRIVING1,2013-11-1T11:36:05.000-05:00,2050.71,117.461,-4.352
5,DRIVING1,2013-11-1T11:36:06.000-05:00,2060.04,118.716,9.328
5,DRIVING1,2013-11-1T11:36:07.000-05:00,2054.22,139.233,-5.824
5,DRIVING1,2013-11-1T11:36:08.000-05:00,2055.54,107.746,1.328
5,DRIVING1,2013-11-1T11:36:09.000-05:00,2054.81,133.579,-0.736
5,DRIVING1,2013-11-1T11:36:10.000-05:00,2055.59,144.253,0.784
5,DRIVING1,2013-11-1T11:36:11.000-05:00,2056.2,103.464,0.608
5,DRIVING1,2013-11-1T11:36:12.000-05:00,2054.47,124.466,-1.728
5,DRIVING1,2013-11-1T11:36:13.000-05:00,2055.26,92.1533,0.784
5,DRIVING1,2013-11-1T11:36:14.000-05:00,2054.02,122.813,-1.232
5,DRIVING1,2013-11-1T11:36:15.000-05:00,2055.64,126.504,1.616
5,DRIVING1,2013-11-1T11:36:16.000-05:00,2051.98,106.984,-3.664
5,DRIVING1,2013-11-1T11:36:17.000-05:00,2057.83,129.914,5.856
5,DRIVING1,2013-11-1T11:36:18.000-05:00,2055.45,123.14,-2.384
5,DRIVING1,2013-11-1T11:36:19.000-05:00,2057.24,134.811,1.792
