subject,session,UTC_Timestamp,ECG_mean,ECG_stdev,ECG_1std
26,PRE_SHAKING1,2014-3-3T11:21:00.000-05:00,0,0,0
26,PRE_SHAKING1,2014-3-3T11:21:01.000-05:00,2041.5,26.0494,2041.5
26,PRE_SHAKING1,2014-3-3T11:21:02.000-05:00,2051.88,303.682,10.384
26,PRE_SHAKING1,2014-3-3T11:21:03.000-05:00,2048.25,282.836,-3.632
26,PRE_SHAKING1,2014-3-3T11:21:04.000-05:00,2051.58,196.6,3.328
26,PRE_SHAKING1,2014-3-3T11:21:05.000-05:00,2042.41,204.817,-9.168
26,PRE_SHAKING1,2014-3-3T11:21:06.000-05:00,2046.01,145.311,3.6
26,PRE_SHAKING1,2014-3-3T11:21:07.000-05:00,2046.57,116.676,0.56
26,PRE_SHAKING1,2014-3-3T11:21:08.000-05:00,2052.68,95.8869,6.112
26,PRE_SHAKING1,2014-3-3T11:21:09.000-05:00,2041.21,147.943,-11.472
26,PRE_SHAKING1,2014-3-3T11:21:10.000-05:00,2045,112.787,3.792
26,PRE_SHAKING1,2014-3-3T11:21:11.000-05:00,2049.59,114.631,4.592
26,PRE_SHAKING1,2014-3-3T11:21:12.000-05:00,2051.72,135.161,2.128
26,PRE_SHAKING1,2014-3-3T11:21:13.000-05:00,2054.42,171.44,2.704
26,PRE_SHAKING1,2014-3-3T11:21:14.000-05:00,2043.3,197.179,-11.12
26,PRE_SHAKING1,2014-3-3T11:21:15.000-05:00,2044.23,228.008,0.928
26,PRE_SHAKING1,2014-3-3T11:21:16.000-05:00,2046.26,177.375,2.032
26,PRE_SHAKING1,2014-3-3T11:21:17.000-05:00,2054.71,180.239,8.448
26,PRE_SHAKING1,2014-3-3T11:21:18.000-05:00,2037.03,326.249,-17.68
26,PRE_SHAKING1,2014-3-3T11:21:19.000-05:00,2045.37,336.222,8.336
26,PRE_SHAKING1,2014-3-3T11:21:20.000-05:00,2054.06,354.144,8.688
26,BASELINE1,2014-3-3T11:30:00.000-05:00,2015,0,-39.056
26,BASELINE1,2014-3-3T11:30:01.000-05:00,2046.62,10.7917,31.616
26,BASELINE1,2014-3-3T11:30:02.000-05:00,2046.57,11.5989,-0.048
26,BASELINE1,2014-3-3T11:30:03.000-05:00,2046.66,13.031,0.096
26,BASELINE1,2014-3-3T11:30:04.000-05:00,2046.73,10.9101,0.064
26,BASELINE1,2014-3-3T11:30:05.000-05:00,2046.6,11.3321,-0.128
26,BASELINE1,2014-3-3T11:30:06.000-05:00,2046.74,11.6289,0.144
26,BASELINE1,2014-3-3T11:30:07.000-05:00,2046.3,12.0007,-0.448
26,BASELINE1,2014-3-3T11:30:08.000-05:00,2046.58,11.95,0.288
26,BASELINE1,2014-3-3T11:30:09.000-05:00,2046.84,10.4479,0.256
26,BASELINE1,2014-3-3T11:30:10.000-05:00,2046.5,11.6514,-0.336
26,BASELINE1,2014-3-3T11:30:11.000-05:00,2046.66,12.3761,0.16
26,BASELINE1,2014-3-3T11:30:12.000-05:00,2046.49,10.7149,-0.176
26,BASELINE1,2014-3-3T11:30:13.000-05:00,2046.74,10.4337,0.256
26,BASELINE1,2014-3-3T11:30:14.000-05:00,2046.63,10.4457,-0.112
26,BASELINE1,2014-3-3T11:30:15.000-05:00,2046.73,10.9101,0.096
26,BASELINE1,2014-3-3T11:30:16.000-05:00,2046.49,11.5097,-0.24
26,BASELINE1,2014-3-3T11:30:17.000-05:00,2046.71,11.6446,0.224
26,BASELINE1,2014-3-3T11:30:18.000-05:00,2046.52,11.5,-0.192
26,BASELINE1,2014-3-3T11:30:19.000-05:00,2046.73,12.9042,0.208
26,BASELINE1,2014-3-3T11:30:20.000-05:00,2046.47,10.8889,-0.256
26,BASELINE1,2014-3-3T11:30:21.000-05:00,2046.49,10.8868,0.016
26,BASELINE1,2014-3-3T11:30:22.000-05:00,2046.55,11.5068,0.064
26,BASELINE1,2014-3-3T11:30:23.000-05:00,2046.5,10.6468,-0.048
26,BASELINE1,2014-3-3T11:30:24.000-05:00,2046.74,12.0982,0.24
26,BASELINE1,2014-3-3T11:30:25.000-05:00,2046.55,10.8366,-0.192
26,BASELINE1,2014-3-3T11:30:26.000-05:00,2046.55,10.0777,0
26,BASELINE1,2014-3-3T11:30:27.000-05:00,2046.92,11.8035,0.368
26,BASELINE1,2014-3-3T11:30:28.000-05:00,2046.6,11.9693,-0.32
26,BASELINE1,2014-3-3T11:30:29.000-05:00,2046.73,12.9636,0.128
26,BASELINE1,2014-3-3T11:30:30.000-05:00,2046.31,11.3295,-0.416
26,BASELINE1,2014-3-3T11:30:31.000-05:00,2046.52,11.6877,0.208
26,BASELINE1,2014-3-3T11:30:32.000-05:00,2046.54,12.4544,0.016
26,BASELINE1,2014-3-3T11:30:33.000-05:00,2046.7,11.4082,0.16
26,BASELINE1,2014-3-3T11:30:34.000-05:00,2046.6,12.6251,-0.096
26,BASELINE1,2014-3-3T11:30:35.000-05:00,2046.7,12.3251,0.096
26,BASELINE1,2014-3-3T11:30:36.000-05:00,2046.73,11.7299,0.032
26,BASELINE1,2014-3-3T11:30:37.000-05:00,2046.54,11.3409,-0.192
26,BASELINE1,2014-3-3T11:30:38.000-05:00,2046.65,11.7359,0.112
26,BASELINE1,2014-3-3T11:30:39.000-05:00,2046.38,11.3163,-0.272
26,BASELINE1,2014-3-3T11:30:40.000-05:00,2046.78,12.6015,0.4
26,BASELINE1,2014-3-3T11:30:41.000-05:00,2046.73,12.5165,-0.048
26,BASELINE1,2014-3-3T11:30:42.000-05:00,2046.36,11.3465,-0.368
26,BASELINE1,2014-3-3T11:30:43.000-05:00,2046.7,10.9444,0.336
26,BASELINE1,2014-3-3T11:30:44.000-05:00,2046.73,10.8513,0.032
26,BASELINE1,2014-3-3T11:30:45.000-05:00,2046.68,10.1584,-0.048
26,BASELINE1,2014-3-3T11:30:46.000-05:00,2046.7,12.6884,0.016
26,BASELINE1,2014-3-3T11:30:47.000-05:00,2046.79,12.1861,0.096
26,BASELINE1,2014-3-3T11:30:48.000-05:00,2046.73,10.9686,-0.064
26,BASELINE1,2014-3-3T11:30:49.000-05:00,2046.52,11.0921,-0.208
26,BASELINE1,2014-3-3T11:30:50.000-05:00,2046.5,11.2204,-0.016
26,BASELINE1,2014-3-3T11:30:51.000-05:00,2046.33,10.5798,-0.176
26,BASELINE1,2014-3-3T11:30:52.000-05:00,2046.7,10.7199,0.368
26,BASELINE1,2014-3-3T11:30:53.000-05:00,2046.42,11.0122,-0.272
26,BASELINE1,2014-3-3T11:30:54.000-05:00,2047.03,11.8874,0.608
26,BASELINE1,2014-3-3T11:30:55.000-05:00,2046.63,13.1572,-0.4
26,BASELINE1,2014-3-3T11:30:56.000-05:00,2046.62,11.0611,-0.016
26,BASELINE1,2014-3-3T11:30:57.000-05:00,2046.62,11.7349,0
26,BASELINE1,2014-3-3T11:30:58.000-05:00,2046.73,31.7004,0.112
26,BASELINE1,2014-3-3T11:30:59.000-05:00,2046.3,11.5551,-0.432
26,BASELINE1,2014-3-3T11:31:00.000-05:00,2046.81,12.0357,0.512
26,DRIVING1,2014-3-3T11:32:18.000-05:00,2039,0,-7.808
26,DRIVING1,2014-3-3T11:32:19.000-05:00,2046.65,10.8578,7.648
26,DRIVING1,2014-3-3T11:32:20.000-05:00,2046.68,11.0978,0.032
26,DRIVING1,2014-3-3T11:32:21.000-05:00,2047.34,13.7154,0.656
26,DRIVING1,2014-3-3T11:32:22.000-05:00,2045.8,16.0967,-1.536
26,DRIVING1,2014-3-3T11:32:23.000-05:00,2046.71,15.8689,0.912
26,DRIVING1,2014-3-3T11:32:24.000-05:00,2046.84,14.0025,0.128
26,DRIVING1,2014-3-3T11:32:25.000-05:00,2046.63,12.7571,-0.208
26,DRIVING1,2014-3-3T11:32:26.000-05:00,2046.71,11.3044,0.08
26,DRIVING1,2014-3-3T11:32:27.000-05:00,2047.13,18.3054,0.416
26,DRIVING1,2014-3-3T11:32:28.000-05:00,2046.07,11.4502,-1.056
26,DRIVING1,2014-3-3T11:32:29.000-05:00,2046.62,12.5365,0.544
26,DRIVING1,2014-3-3T11:32:30.000-05:00,2046.76,11.9468,0.144
26,DRIVING1,2014-3-3T11:32:31.000-05:00,2046.7,13.0661,-0.064
26,DRIVING1,2014-3-3T11:32:32.000-05:00,2046.28,12.5498,-0.416
26,DRIVING1,2014-3-3T11:32:33.000-05:00,2046.87,12.1214,0.592
26,DRIVING1,2014-3-3T11:32:34.000-05:00,2046.63,11.0934,-0.24
26,DRIVING1,2014-3-3T11:32:35.000-05:00,2047.03,12.1484,0.4
26,DRIVING1,2014-3-3T11:32:36.000-05:00,2046.79,12.5023,-0.24
26,DRIVING1,2014-3-3T11:32:37.000-05:00,2046.41,12.5972,-0.384
26,DRIVING1,2014-3-3T11:32:38.000-05:00,2046.84,11.8054,0.432
26,DRIVING1,2014-3-3T11:32:39.000-05:00,2046.7,10.3369,-0.144
26,DRIVING1,2014-3-3T11:32:40.000-05:00,2046.47,12.1974,-0.224
26,DRIVING1,2014-3-3T11:32:41.000-05:00,2047.21,13.3634,0.736
26,DRIVING1,2014-3-3T11:32:42.000-05:00,2046.3,12.2488,-0.912
26,DRIVING1,2014-3-3T11:32:43.000-05:00,2046.84,11.1817,0.544
26,DRIVING1,2014-3-3T11:32:44.000-05:00,2046.34,11.6269,-0.496
26,DRIVING1,2014-3-3T11:32:45.000-05:00,2046.65,12.6745,0.304
26,DRIVING1,2014-3-3T11:32:46.000-05:00,2046.74,11.8416,0.096
26,DRIVING1,2014-3-3T11:32:47.000-05:00,2046.52,11.6657,-0.224
26,DRIVING1,2014-3-3T11:32:48.000-05:00,2046.41,11.5253,-0.112
26,DRIVING1,2014-3-3T11:32:49.000-05:00,2047.32,16.2114,0.912
26,DRIVING1,2014-3-3T11:32:50.000-05:00,2045.93,13.6962,-1.392
26,DRIVING1,2014-3-3T11:32:51.000-05:00,2046.95,11.8145,1.024
26,DRIVING1,2014-3-3T11:32:52.000-05:00,2046.89,11.9111,-0.064
