subject,session,UTC_Timestamp,HR,HR_1std,BR,BR_1std_General,Temperature,Temperature_1std,Posture,Posture_1std,Activity,Activity_1std,Acceleration,Acceleration_1std,Battery,Battery_1std,BR_Amplitude,BR_Amplitude_1std,ECG_Amplitude,ECG_Amplitude_1std,ECG_Noise,ECG_Noise_1std,XMin,XMin_1std,XPeak,XPeak_1std,YMin,YMin_1std,YPeak,YPeak_1std,ZMin,ZMin_1std,ZPeak,ZPeak_1std
5,PRE_SHAKING1,2013-11-1T11:27:31.000-05:00,201,201,10.0,10,19.3,19.3,-87,-87,1.55,1.55,6.88,6.88,4.071,4.071,0.009,0.009,0.000202,0.000202,0.002815,0.002815,-0.70,-0.7,2.01,2.01,-0.85,-0.85,2.32,2.32,-6.24,-6.24,2.37,2.37
5,PRE_SHAKING1,2013-11-1T11:27:32.000-05:00,201,0,10.0,0,19.3,0,-94,-7,6.07,4.52,11.65,4.77,4.071,0,0.017,0.008,0.000202,0,0.004736,0.001921,-9.42,-8.72,10.32,8.31,-3.93,-3.08,4.42,2.1,-6.60,-0.36,9.39,7.02
5,PRE_SHAKING1,2013-11-1T11:27:33.000-05:00,201,0,10.0,0,19.3,0,-110,-16,5.46,-0.61,10.69,-0.96,4.071,0,0.023,0.006,0.000202,0,0.004750,1.4e-005,-9.62,-0.2,10.26,-0.06,-0.55,3.38,3.39,-1.03,-6.03,0.57,7.75,-1.64
5,PRE_SHAKING1,2013-11-1T11:27:34.000-05:00,201,0,10.0,0,19.3,0,-109,1,5.40,-0.06,11.39,0.7,4.071,0,0.021,-0.002,0.000202,0,0.004129,-0.000621,-9.47,0.15,12.16,1.9,-0.29,0.26,5.85,2.46,-5.42,0.61,6.62,-1.13
5,PRE_SHAKING1,2013-11-1T11:27:35.000-05:00,201,0,10.0,0,19.3,0,-108,1,4.92,-0.48,10.69,-0.7,4.071,0,0.023,0.002,0.000202,0,0.003277,-0.000852,-7.93,1.54,10.93,-1.23,-0.55,-0.26,5.80,-0.05,-6.80,-1.38,5.85,-0.77
5,PRE_SHAKING1,2013-11-1T11:27:36.000-05:00,200,-1,10.6,0.6,19.3,0,-101,7,5.27,0.35,10.92,0.23,4.068,-0.003,0.027,0.004,0.000202,0,0.002570,-0.000707,-8.70,-0.77,11.24,0.31,0.52,1.07,4.16,-1.64,-6.44,0.36,5.65,-0.2
5,PRE_SHAKING1,2013-11-1T11:27:37.000-05:00,199,-1,11.1,0.5,19.3,0,-102,-1,4.36,-0.91,10.30,-0.62,4.068,0,0.027,0,0.000202,0,0.002223,-0.000347,-6.65,2.05,10.83,-0.41,-1.78,-2.3,3.65,-0.51,-6.19,0.25,5.91,0.26
5,PRE_SHAKING1,2013-11-1T11:27:38.000-05:00,199,0,11.6,0.5,19.3,0,-102,0,4.78,0.42,10.10,-0.2,4.068,0,0.034,0.007,0.000202,0,0.002787,0.000564,-6.55,0.1,10.62,-0.21,-1.37,0.41,6.16,2.51,-6.19,0,5.03,-0.88
5,PRE_SHAKING1,2013-11-1T11:27:39.000-05:00,198,-1,12.1,0.5,19.3,0,-101,1,4.93,0.15,11.29,1.19,4.068,0,0.038,0.004,0.000202,0,0.003754,0.000967,-7.67,-1.12,11.50,0.88,-0.70,0.67,6.88,0.72,-8.03,-1.84,6.11,1.08
5,PRE_SHAKING1,2013-11-1T11:27:40.000-05:00,198,0,12.5,0.4,19.3,0,-101,0,4.82,-0.11,10.66,-0.63,4.068,0,0.039,0.001,0.000202,0,0.006108,0.002354,-7.37,0.3,10.93,-0.57,-1.16,-0.46,5.29,-1.59,-6.24,1.79,5.03,-1.08
5,PRE_SHAKING1,2013-11-1T11:27:41.000-05:00,198,0,12.8,0.3,19.3,0,-104,-3,4.91,0.09,10.35,-0.31,4.068,0,0.036,-0.003,0.000202,0,0.006989,0.000881,-7.62,-0.25,11.24,0.31,-0.91,0.25,4.62,-0.67,-5.62,0.62,5.85,0.82
5,PRE_SHAKING1,2013-11-1T11:27:42.000-05:00,197,-1,13.1,0.3,19.3,0,-107,-3,4.96,0.05,10.05,-0.3,4.068,0,0.036,0,0.000202,0,0.007638,0.000649,-7.37,0.25,11.08,-0.16,-1.78,-0.87,4.88,0.26,-5.67,-0.05,6.42,0.57
5,PRE_SHAKING1,2013-11-1T11:27:43.000-05:00,197,0,13.1,0,19.3,0,-107,0,4.56,-0.4,9.75,-0.3,4.068,0,0.038,0.002,0.000202,0,0.007624,-1.4e-005,-6.19,1.18,10.42,-0.66,-1.21,0.57,5.14,0.26,-5.42,0.25,5.80,-0.62
5,PRE_SHAKING1,2013-11-1T11:27:44.000-05:00,198,1,13.1,0,19.3,0,-106,1,4.32,-0.24,9.17,-0.58,4.068,0,0.043,0.005,0.000202,0,0.008693,0.001069,-5.37,0.82,9.85,-0.57,-1.16,0.05,4.26,-0.88,-5.67,-0.25,4.78,-1.02
5,PRE_SHAKING1,2013-11-1T11:27:45.000-05:00,198,0,13.2,0.1,19.3,0,-105,1,4.34,0.02,9.16,-0.01,4.068,0,0.044,0.001,0.000202,0,0.009256,0.000563,-6.91,-1.54,9.91,0.06,-1.16,0,5.14,0.88,-5.67,0,6.78,2
5,PRE_SHAKING1,2013-11-1T11:27:46.000-05:00,197,-1,13.3,0.1,19.3,0,-105,0,4.08,-0.26,8.66,-0.5,4.068,0,0.049,0.005,0.000202,0,0.009342,8.6e-005,-6.39,0.52,8.42,-1.49,-0.85,0.31,5.44,0.3,-6.34,-0.67,4.88,-1.9
