Timestamp,BR,RtoR
01/11/2013 11:26:01.612,22,0.212
01/11/2013 11:26:01.668,20,-0.288
01/11/2013 11:26:01.724,19,-0.288
01/11/2013 11:26:01.780,18,-0.288
01/11/2013 11:26:01.836,17,-0.288
01/11/2013 11:26:01.892,16,0.2
01/11/2013 11:26:01.948,15,0.2
01/11/2013 11:26:02.004,14,0.2
01/11/2013 11:26:02.060,13,0.2
01/11/2013 11:26:02.116,12,0.2
01/11/2013 11:26:02.172,12,0.2
01/11/2013 11:26:02.228,11,0.2
01/11/2013 11:26:02.284,10,0.2
01/11/2013 11:26:02.340,10,0.2
01/11/2013 11:26:02.396,9,-0.456
01/11/2013 11:26:02.452,8,-0.456
01/11/2013 11:26:02.508,8,-0.456
01/11/2013 11:26:02.564,7,-0.456
01/11/2013 11:26:02.620,7,-0.456
01/11/2013 11:26:02.676,6,0.328
01/11/2013 11:26:02.732,6,0.328
01/11/2013 11:26:02.788,6,0.328
01/11/2013 11:26:02.844,5,0.328
01/11/2013 11:26:02.900,5,0.328
01/11/2013 11:26:02.956,5,0.328
01/11/2013 11:26:03.012,4,0.328
01/11/2013 11:26:03.068,4,0.328
01/11/2013 11:26:03.124,4,-0.548
01/11/2013 11:26:03.180,3,-0.548
01/11/2013 11:26:03.236,3,-0.548
01/11/2013 11:26:03.292,3,-0.548
01/11/2013 11:26:03.348,3,-0.548
01/11/2013 11:26:03.404,3,0.072
01/11/2013 11:26:03.460,2,0.072
01/11/2013 11:26:03.516,2,0.072
01/11/2013 11:26:03.572,2,0.072
01/11/2013 11:26:03.628,2,-0.252
01/11/2013 11:26:03.684,2,-0.252
01/11/2013 11:26:03.740,2,-0.252
01/11/2013 11:26:03.796,1,-0.252
01/11/2013 11:26:03.852,1,-0.252
01/11/2013 11:26:03.908,1,-0.252
01/11/2013 11:26:03.964,1,-0.252
01/11/2013 11:26:04.020,1,-0.252
01/11/2013 11:26:04.076,1,-0.252
01/11/2013 11:26:04.132,1,0.608
01/11/2013 11:26:04.188,1,0.608
01/11/2013 11:26:04.244,1,0.608
01/11/2013 11:26:04.300,0,0.608
01/11/2013 11:26:04.356,0,0.608
01/11/2013 11:26:04.412,0,-0.144
01/11/2013 11:26:04.468,0,-0.144
01/11/2013 11:26:04.524,0,-0.144
01/11/2013 11:26:04.580,0,-0.144
01/11/2013 11:26:04.636,0,-0.144
01/11/2013 11:26:04.692,0,-0.144
01/11/2013 11:26:04.748,0,-0.144
01/11/2013 11:26:04.804,0,-0.144
01/11/2013 11:26:04.860,0,0.512
01/11/2013 11:26:04.916,0,0.512
01/11/2013 11:26:04.972,0,0.512
01/11/2013 11:26:05.028,0,0.512
01/11/2013 11:26:05.084,0,0.512
01/11/2013 11:26:05.140,0,0.512
01/11/2013 11:26:05.196,0,0.512
01/11/2013 11:26:05.252,0,0.512
01/11/2013 11:26:05.308,0,0.512
01/11/2013 11:26:05.364,0,-0.604
01/11/2013 11:26:05.420,0,-0.604
01/11/2013 11:26:05.476,0,-0.604
01/11/2013 11:26:05.532,0,-0.604
01/11/2013 11:26:05.588,0,-0.604
01/11/2013 11:26:05.644,0,0.116
01/11/2013 11:26:05.700,0,0.116
01/11/2013 11:26:05.756,0,0.116
01/11/2013 11:26:05.812,0,0.116
01/11/2013 11:26:05.868,0,-0.372
01/11/2013 11:26:05.924,0,-0.372
01/11/2013 11:26:05.980,0,-0.372
01/11/2013 11:26:06.036,0,-0.372
01/11/2013 11:26:06.092,0,-0.372
01/11/2013 11:26:06.148,0,0.296
01/11/2013 11:26:06.204,0,0.296
01/11/2013 11:26:06.260,0,0.296
01/11/2013 11:26:06.316,0,0.296
01/11/2013 11:26:06.372,0,-0.08
01/11/2013 11:26:06.428,0,-0.08
01/11/2013 11:26:06.484,0,-0.08
01/11/2013 11:26:06.540,0,-0.08
01/11/2013 11:26:06.596,0,0.38
01/11/2013 11:26:06.652,0,0.38
01/11/2013 11:26:06.708,0,0.38
01/11/2013 11:26:06.764,0,0.38
01/11/2013 11:26:06.820,0,0.38
01/11/2013 11:26:06.876,0,0.38
01/11/2013 11:26:06.932,0,0.38
01/11/2013 11:26:06.988,0,0.38
01/11/2013 11:26:07.044,0,0.38
01/11/2013 11:26:07.100,0,-0.36
01/11/2013 11:26:07.156,0,-0.36
01/11/2013 11:26:07.212,0,-0.36
01/11/2013 11:26:07.268,0,-0.36
01/11/2013 11:26:07.324,0,-0.36
01/11/2013 11:26:07.380,0,-0.36
01/11/2013 11:26:07.436,0,-0.36
01/11/2013 11:26:07.492,0,-0.36
01/11/2013 11:26:07.548,0,-0.36
01/11/2013 11:26:07.604,0,-0.36
01/11/2013 11:26:07.660,0,-0.36
01/11/2013 11:26:07.716,0,-0.36
01/11/2013 11:26:07.772,0,-0.36
01/11/2013 11:26:07.828,0,-0.36
01/11/2013 11:26:07.884,0,0.896
01/11/2013 11:26:07.940,0,0.896
01/11/2013 11:26:07.996,0,0.896
01/11/2013 11:26:08.052,0,0.896
01/11/2013 11:26:08.108,0,-0.124
01/11/2013 11:26:08.164,0,-0.124
01/11/2013 11:26:08.220,0,-0.124
01/11/2013 11:26:08.276,0,-0.124
01/11/2013 11:26:08.332,0,-0.124
01/11/2013 11:26:08.388,0,-0.124
01/11/2013 11:26:08.444,0,-0.124
01/11/2013 11:26:08.500,0,-0.124
01/11/2013 11:26:08.556,0,-0.124
01/11/2013 11:26:08.612,0,0.48
01/11/2013 11:26:08.668,0,0.48
01/11/2013 11:26:08.724,0,0.48
01/11/2013 11:26:08.780,0,0.48
01/11/2013 11:26:08.836,0,0.48
01/11/2013 11:26:08.892,0,0.48
01/11/2013 11:26:08.948,0,0.48
01/11/2013 11:26:09.004,0,0.48
01/11/2013 11:26:09.060,0,0.48
01/11/2013 11:26:09.116,0,0.48
01/11/2013 11:26:09.172,0,0.48
01/11/2013 11:26:09.228,0,0.48
01/11/2013 11:26:09.284,0,0.48
01/11/2013 11:26:09.340,0,-0.968
01/11/2013 11:26:09.396,0,-0.968
01/11/2013 11:26:09.452,0,-0.968
01/11/2013 11:26:09.508,0,-0.968
01/11/2013 11:26:09.564,0,-0.968
01/11/2013 11:26:09.620,0,-0.968
01/11/2013 11:26:09.676,0,-0.968
01/11/2013 11:26:09.732,0,-0.968
01/11/2013 11:26:09.788,0,-0.968
01/11/2013 11:26:09.844,0,0.336
